frug_sp_original,frug_sp_elton,family,bmass.elton,class,bmass
Aegithalos caudatus,Aegithalos caudatus,Aegithalidae,8.6,bird,8.6
Aegithina tiphia,Aegithina tiphia,Aegithinidae,12,bird,12
Galerida cristata,Galerida cristata,Alaudidae,42.68,bird,42.68
Bos taurus,Bos taurus,Bovidae,900000,mammal,900000
Ocyceros griseus,Ocyceros griseus,Bucerotidae,292,bird,292
Buceros bicornis,Buceros bicornis,Bucerotidae,2790.79,bird,2790.79
Vulpes vulpes,Vulpes vulpes,Canidae,5476.17,mammal,5476.17
Lycalopex griseus,Lycalopex griseus,Canidae,5146.58,mammal,5146.58
Piranga flava,Piranga flava,Cardinalidae,37.7,bird,37.7
Saltator aurantiirostris,Saltator aurantiirostris,Cardinalidae,41.89,bird,41.89
Saltator similis,Saltator similis,Cardinalidae,43.3,bird,43.3
Saltator maximus,Saltator maximus,Cardinalidae,47.62,bird,47.62
Saltatricula atricollis,Saltator atricollis,Cardinalidae,53.8,bird,53.8
Saltator coerulescens,Saltator coerulescens,Cardinalidae,54.9,bird,54.9
Microcavia australis,Microcavia australis,Caviidae,286.1,mammal,286.1
Dolichotis patagonum,Dolichotis patagonum,Caviidae,8000,mammal,8000
Saguinus mystax,Saguinus mystax,Cebidae,618,mammal,618
Macaca silenus,Macaca silenus,Cercopithecidae,4750,mammal,4750
Macaca radiata,Macaca radiata,Cercopithecidae,3690,mammal,3690
Semnopithecus johnii,Trachypithecus johnii,Cercopithecidae,11921,mammal,11921
Certhia brachydactyla,Certhia brachydactyla,Certhiidae,8.2,bird,8.2
Dama dama,Dama dama,Cervidae,52375,mammal,52375
Cervus elaphus,Cervus elaphus,Cervidae,165015.85,mammal,165015.85
Prinia socialis,Prinia socialis,Cisticolidae,8,bird,8
Coereba flaveola,Coereba flaveola,Coerebidae,10.01,bird,10.01
Columba palumbus,Columba palumbus,Columbidae,490,bird,490
Patagioenas maculosa,Patagioenas maculosa,Columbidae,347,bird,347
Ducula badia,Ducula badia,Columbidae,485.99,bird,485.99
Spilopelia senegalensis,Stigmatopelia senegalensis,Columbidae,82.13,bird,82.13
Spilopelia chinensis,Stigmatopelia chinensis,Columbidae,159,bird,159
Zenaida auriculata,Zenaida auriculata,Columbidae,110.2,bird,110.2
Patagioenas plumbea,Patagioenas plumbea,Columbidae,178.77,bird,178.77
Patagioenas subvinacea,Patagioenas subvinacea,Columbidae,162.48,bird,162.48
Cyanopica cooki,Cyanopica cyanus,Corvidae,95.91,bird,95.91
Garrulus glandarius,Garrulus glandarius,Corvidae,159.46,bird,159.46
Cyanocorax caeruleus,Cyanocorax caeruleus,Corvidae,272,bird,272
Corvus macrorhynchos,Corvus macrorhynchos,Corvidae,513.14,bird,513.14
Dendrocitta leucogastra,Dendrocitta leucogastra,Corvidae,99.2,bird,99.2
Pachyramphus validus,Pachyramphus validus,Cotingidae,43,bird,43
Procnias nudicollis,Procnias nudicollis,Cotingidae,172.04,bird,172.04
Pyroderus scutatus,Pyroderus scutatus,Cotingidae,357,bird,357
Carpornis cucullata,Carpornis cucullata,Cotingidae,74.19,bird,74.19
Tityra inquisitor,Tityra inquisitor,Cotingidae,43.1,bird,43.1
Tityra cayana,Tityra cayana,Cotingidae,68.1,bird,68.1
Cephalopterus penduliger,Cephalopterus penduliger,Cotingidae,338,bird,338
Lipaugus vociferans,Lipaugus vociferans,Cotingidae,75.42,bird,75.42
Pachyramphus rufus,Pachyramphus rufus,Cotingidae,18.8,bird,18.8
Cotinga maynana,Cotinga maynana,Cotingidae,69,bird,69
Tityra semifasciata,Tityra semifasciata,Cotingidae,79.3,bird,79.3
Aburria jacutinga,Pipile jacutinga,Cracidae,1240.96,bird,1240.96
Penelope purpurascens,Penelope purpurascens,Cracidae,2060,bird,2060
Graomys griseoflavus,Graomys griseoflavus,Cricetidae,67.5,mammal,67.5
Akodon dolores,Akodon dolores,Cricetidae,50.5,mammal,50.5
Calomys musculinus,Calomys musculinus,Cricetidae,20.1,mammal,20.1
Ctenomys mendocinus,Ctenomys mendocinus,Ctenomyidae,163.05,mammal,163.05
Piaya cayana,Piaya cayana,Cuculidae,101.98,bird,101.98
Eudynamys scolopaceus,Eudynamys scolopaceus,Cuculidae,194.92,bird,194.92
Chaetophractus vellerosus,Chaetophractus vellerosus,Dasypodidae,1030.01,mammal,1030.01
Dicaeum erythrorhynchos,Dicaeum erythrorhynchos,Dicaeidae,6.3,bird,6.3
Microspingus melanoleucus,Poospiza melanoleuca,Emberizidae,13.1,bird,13.1
Zonotrichia capensis,Zonotrichia capensis,Emberizidae,20.31,bird,20.31
Equus caballus,Equus caballus,Equidae,250000,mammal,250000
Lonchura punctulata,Lonchura punctulata,Estrildidae,13.6,bird,13.6
Chloris chloris,Carduelis chloris,Fringillidae,26,bird,26
Fringilla coelebs,Fringilla coelebs,Fringillidae,23.81,bird,23.81
Pyrrhula pyrrhula,Pyrrhula pyrrhula,Fringillidae,24.26,bird,24.26
