net_id,t,Method,Order.q,qD,qD.LCL,qD.UCL,SC,SC.LCL,SC.UCL,type,net_code,unique.ints,ref,country,plant_sp,family,continent,bioregion,plot_rank1,plot_rank2,cols_continent1,cols_continent2,cols_continent_d1,cols_continent_d2,cols_bioregions1,cols_bioregions_d1,cols_bioregions2,cols_bioregions_d2,cols_country,cols_magma,cols_viridis
01_01,40,Observed,0,27,24.406757849760574,29.593242150239426,0.9925999325349975,0.9846056620072697,1,ind,ind_01_01,392,Quintero et al 2023 Ecology letters,Spain,Pistacia lentiscus,Anacardiaceae,Europe,Mediterranean,8,8,#FF9B00,#FF9B00,#FFCA28FF,#FFCA28FF,#1871CD,#42A5F5FF,#1871CD,#42A5F5FF,#A9dc67,#51127CFF,#3B528BFF
01_02,40,Observed,0,16,11.699366527491518,20.30063347250848,0.9559764204189138,0.9243217472403413,0.9876310935974864,ind,ind_01_02,134,Quintero et al 2023 Ecology letters,Spain,Pistacia lentiscus,Anacardiaceae,Europe,Mediterranean,8,8,#FF9B00,#FF9B00,#FFCA28FF,#FFCA28FF,#1871CD,#42A5F5FF,#1871CD,#42A5F5FF,#A9dc67,#51127CFF,#3B528BFF
02_01,35,Observed,0,10,7.859915964338578,12.140084035661422,0.9858185610010427,0.9684921048324016,1,ind,ind_02_01,137,Isla et al 2023 PRSB,Spain,Juniperus phoenicea,Cupressaceae,Europe,Mediterranean,4,4,#FFC71F,#FFC71F,#FFCA28FF,#FFCA28FF,#39A1F4,#42A5F5FF,#39A1F4,#42A5F5FF,#D1AFE8,#170F3CFF,#482777FF
02_02,35,Observed,0,10,8.2023545298056,11.7976454701944,0.9873840445269016,0.9747421788951104,1,ind,ind_02_02,154,Isla et al 2023 PRSB,Spain,Juniperus phoenicea,Cupressaceae,Europe,Mediterranean,4,4,#FFC71F,#FFC71F,#FFCA28FF,#FFCA28FF,#39A1F4,#42A5F5FF,#39A1F4,#42A5F5FF,#D1AFE8,#170F3CFF,#482777FF
02_03,35,Observed,0,11,10.239361625561918,11.760638374438082,1,0.9925976598065842,1,ind,ind_02_03,148,Isla et al 2023 PRSB,Spain,Juniperus phoenicea,Cupressaceae,Europe,Mediterranean,4,4,#FFC71F,#FFC71F,#FFCA28FF,#FFCA28FF,#39A1F4,#42A5F5FF,#39A1F4,#42A5F5FF,#D1AFE8,#170F3CFF,#482777FF
03_01,13,Observed,0,10,6.367397209344482,13.632602790655518,0.8702702702702703,0.767031855184304,0.9735086853562366,ind,ind_03_01,37,Vergara-Tabares et al 2022 Oikos,Argentina,Lithraea molleoides,Anacardiaceae,America,Temperate,21,10,#90CAF9,#80CBC4,#42A5F5FF,#26A69AFF,#FFE082,#FFCA28FF,#FFE082,#FFCA28FF,#F4A3A8,#F8765CFF,#4AC16DFF
03_02,14,Observed,0,10,7.744694019190703,12.255305980809297,0.9437229437229437,0.8622456736197803,1,ind,ind_03_02,33,Vergara-Tabares et al 2022 Oikos,Argentina,Lithraea molleoides,Anacardiaceae,America,Temperate,21,10,#90CAF9,#80CBC4,#42A5F5FF,#26A69AFF,#FFE082,#FFCA28FF,#FFE082,#FFCA28FF,#F4A3A8,#F8765CFF,#4AC16DFF
03_03,14,Observed,0,13,10.110485654802783,15.889514345197217,0.9220389805097451,0.834814360764649,1,ind,ind_03_03,46,Vergara-Tabares et al 2022 Oikos,Argentina,Lithraea molleoides,Anacardiaceae,America,Temperate,21,10,#90CAF9,#80CBC4,#42A5F5FF,#26A69AFF,#FFE082,#FFCA28FF,#FFE082,#FFCA28FF,#F4A3A8,#F8765CFF,#4AC16DFF
03_04,13,Observed,0,12,9.106147856383608,14.893852143616392,0.9132791327913279,0.8450651259159022,0.9814931396667536,ind,ind_03_04,41,Vergara-Tabares et al 2022 Oikos,Argentina,Lithraea molleoides,Anacardiaceae,America,Temperate,21,10,#90CAF9,#80CBC4,#42A5F5FF,#26A69AFF,#FFE082,#FFCA28FF,#FFE082,#FFCA28FF,#F4A3A8,#F8765CFF,#4AC16DFF
03_05,12,Observed,0,11,7.810269905380058,14.189730094619943,0.8735632183908046,0.7100302909552401,1,ind,ind_03_05,29,Vergara-Tabares et al 2022 Oikos,Argentina,Lithraea molleoides,Anacardiaceae,America,Temperate,21,10,#90CAF9,#80CBC4,#42A5F5FF,#26A69AFF,#FFE082,#FFCA28FF,#FFE082,#FFCA28FF,#F4A3A8,#F8765CFF,#4AC16DFF
