ind,x,y,crop,DBH_cm,height_cm,se_obs_h,fruit_type,fruit_color,seeds_per_fruit
CAST01,10.314388,76.830726,242,225,3100,5,Drupaceous ,dark-blue,1-3
CAST02,10.351326,76.936161,940,490,3000,5,Drupaceous ,dark-blue,1-3
CAST03,10.367031,76.937235,120,280,2300,5,Drupaceous ,dark-blue,1-3
CAST04,10.347321,76.93409,252,390,3200,5,Drupaceous ,dark-blue,1-3
CAST05,10.313665,76.830927,220,270,3400,5,Drupaceous ,dark-blue,1-3
CAST06,10.365955,76.938029,1120,285,2800,5,Drupaceous ,dark-blue,1-3
CAST07,10.343269,76.903401,200,319,4000,5,Drupaceous ,dark-blue,1-3
CAST08,10.34816631,76.93220099,260,228,3600,5,Drupaceous ,dark-blue,1-3
CAST09,10.36524226,76.93678069,356,275,3500,5.333333333333333,Drupaceous ,dark-blue,1-3
CAST10,10.37711489,76.99207325,210,213,2600,5.166666666666667,Drupaceous ,dark-blue,1-3
CAST11,10.401223,76.991534,300,215,2000,5.333333333333333,Drupaceous ,dark-blue,1-3
CAST12,10.37242899,76.98615211,112,176,3700,4.166666666666667,Drupaceous ,dark-blue,1-3
CAST13,10.3649012,76.99827335,45,91,2000,4.166666666666667,Drupaceous ,dark-blue,1-3
CAST14,10.35772964,76.92799537,200,148,2300,4.166666666666667,Drupaceous ,dark-blue,1-3
CAST15,10.36404608,76.99816832,220,147,3200,4,Drupaceous ,dark-blue,1-3
CAST16,10.34706208,76.89803618,30,220,3000,4.5,Drupaceous ,dark-blue,1-3
CAST17,10.34994847,76.91674568,210,122,2100,4.083333333333333,Drupaceous ,dark-blue,1-3
CAST18,10.34842322,76.93261187,280,179,3200,4.333333333333333,Drupaceous ,dark-blue,1-3
CAST19,10.35453698,76.91597052,471,295,3700,6.75,Drupaceous ,dark-blue,1-3
CAST20,10.358681,76.933578,800,218,3000,5.216666666666667,Drupaceous ,dark-blue,1-3
CAST21,10.36570217,76.99682713,400,351,4000,4.583333333333333,Drupaceous ,dark-blue,1-3
CAST22,10.35414227,76.91635408,365,248,2500,5,Drupaceous ,dark-blue,1-3
CAST23,10.37099124,76.99324035,1000,305,3100,5.383333333333334,Drupaceous ,dark-blue,1-3
CAST24,10.36008404,76.99823211,1000,290,3300,4.866666666666666,Drupaceous ,dark-blue,1-3
CAST25,10.34254457,76.89992244,1200,242,2500,4.25,Drupaceous ,dark-blue,1-3
CAST26,10.35671242,76.91844285,500,227,4100,5.083333333333333,Drupaceous ,dark-blue,1-3
CAST27,10.35636188,76.91678784,300,232,3700,4.333333333333333,Drupaceous ,dark-blue,1-3
CAST28,10.35748087,76.91709353,242,234,3300,5.083333333333333,Drupaceous ,dark-blue,1-3
CAST29,10.290849,77.01235,688,285,2900,5,Drupaceous ,dark-blue,1-3
CAST30,10.292474,77.016464,800,350,3600,4,Drupaceous ,dark-blue,1-3
