ind,Pycnonotus_cafer,Pycnonotus_luteolus,Spilopelia_chinensis,Saxicoloides_fulicatus,Orthotomus_sutorius,Megalaima_haemacephala,Pycnonotus_jocosus,Merops_orientalis,Prinia_socialis,Eudynamys_scolopaceus,Dicaeum_erythrorhynchos,Cinnyris_asiaticus,Lonchura_punctulata
ZIZO01,1.1111111111111112,2.7777777777777777,0.5555555555555556,0,0,0,0,0,0,0,0,0,0
ZIZO02,3,4.5,0,1,0.5,1,1.5,0.5,0,0,0,0,0
ZIZO03,2.7777777777777777,4.444444444444445,0,2.7777777777777777,0.5555555555555556,0,1.1111111111111112,0,1.1111111111111112,0.5555555555555556,0,0,0
ZIZO04,2,9.5,0,0.5,0.5,0,1.5,0,0,2.5,1,0.5,0
ZIZO05,1,6.5,0,1.5,0.5,0,3.5,0,0,0.5,1.5,0.5,0
ZIZO06,1.5,7.5,0,1,0.5,0.5,2,0,0,0.5,0.5,0.5,0
ZIZO07,10.454545454545453,5.909090909090909,0,0,0,0,2.2727272727272725,0,0,1.8181818181818181,0,4.545454545454545,0
ZIZO08,1.5,6,0,0.5,0,0,2,0,0,0.5,1,0.5,0
ZIZO09,3.5,6,0,0,0,0,2,0,0,0.5,2,0,0
ZIZO10,2.5,9,0,0.5,0,0,3,0,0,0.5,0.5,2,0
ZIZO11,3,11,0,0,0,0,2,0,0,1.5,1,1,0
ZIZO12,2.5,3,0,0,0,0,1.5,0,0,1,0.5,0,0
ZIZO13,2.5,6,0,0,0,0.5,0.5,0,0,0.5,0.5,1,0
ZIZO14,3,6,0,1,0,1.5,2.5,0,0,1,0.5,1.5,1
ZIZO15,2.5,6.5,0.5,0,0.5,1,1,0,0,1,1,1,0
