ind,Cervus_elaphus,Sus_scrofa,Oryctolagus_cuniculus,Rattus_sp,Vulpes_vulpes,Meles_meles
ER002H,0.16666666666666666,0.08333333333333333,0.08333333333333333,0,0,0
ER007H,0.25,0.16666666666666666,0.16666666666666666,0,0,0.08333333333333333
ER028H,0.08333333333333333,0,0,0,0.08333333333333333,0
ER033H,0.25,0,0,0,0.08333333333333333,0
ER036H,1,0.16666666666666666,0.08333333333333333,0,0,0.08333333333333333
ER037H,0,0.16666666666666666,0,0.16666666666666666,0,0
ER044H,0.5833333333333334,0.16666666666666666,0,0.08333333333333333,0,0
ER045H,0.8333333333333334,0.08333333333333333,0,0,0,0
ER047H,0.16666666666666666,0.08333333333333333,0,0,0,0
ER050H,0.16666666666666666,0.08333333333333333,0,0,0,0
ER052X,0.25,0.4166666666666667,0.16666666666666666,0,0,0
ER053H,0.08333333333333333,0,0,0,0,0
ER061H,0.8333333333333334,0.16666666666666666,0,0,0,0.16666666666666666
ER067H,0.5,0,0.25,0,0.16666666666666666,0.25
ER070H,0.3333333333333333,0,0.75,0,0.16666666666666666,0
ER071M-H,0.16666666666666666,0,0,0,0,0
ER072H,0.4166666666666667,0,0,0,0,0
ER073H,0.8333333333333334,0,0,0,0,0
ER074M-H,0.5833333333333334,0,0,0,0,0
ER079H,0.9166666666666666,0.16666666666666666,0.8333333333333334,0,0,0.16666666666666666
ER080H,0.5833333333333334,0.4166666666666667,1,0.08333333333333333,0,0.25
ER085H,0.4166666666666667,0,0,0,0,0
ER086H,0.3333333333333333,0,0,0,0,0
ER090H,0.75,0,0.08333333333333333,0,0,0
