ind,x,y,se_bc_days,se_bc_area,fruit_type,fruit_color,seeds_per_fruit
olan001,-6.53278701938688,37.0120839960873,252,0.44,drupe,orange,1
olan002,-6.53282297775149,37.0122559927403,252,0.44,drupe,orange,1
olan003,-6.53414899483323,37.0126689691096,239,0.44,drupe,orange,1
olan004,-6.53327300213277,37.0124620199203,252,0.44,drupe,orange,1
olan005,-6.53352303430438,37.0123780332505,252,0.44,drupe,orange,1
olan006,-6.53356896713376,37.0123500376939,252,0.44,drupe,orange,1
olan007,-6.53371104039251,37.0123669691383,252,0.44,drupe,orange,1
olan008,-6.53375596739351,37.0126470085233,252,0.44,drupe,orange,1
olan009,-6.53390198014676,37.0127159915864,252,0.44,drupe,orange,1
olan010,-6.53355597518384,37.0128419715911,252,0.44,drupe,orange,1
olan011,-6.52483996935188,37.0124859921634,239,0.44,drupe,orange,1
olan012,-6.52594998478889,37.0129709690809,239,0.44,drupe,orange,1
olan013,-6.52612499892711,37.0127709768712,239,0.44,drupe,orange,1
olan014,-6.53153501451015,37.0156349893659,239,0.44,drupe,orange,1
olan015,-6.53216701000928,37.016163971275,239,0.44,drupe,orange,1
olan016,-6.53300897218287,37.0164659712463,239,0.44,drupe,orange,1
olan017,-6.53419098816812,37.0168790314346,239,0.44,drupe,orange,1
olan018,-6.53460002504289,37.0172429736703,239,0.44,drupe,orange,1
olan019,-6.53469901531934,37.0171149820089,239,0.44,drupe,orange,1
olan020,-6.53590500354766,37.0178560260683,239,0.44,drupe,orange,1
