ind,Erithacus_rubecula,Sylvia_atricapilla,Turdus_philomelos,Turdus_merula,Psammodromus_algirus,Apodemus_sylvaticus,Columba_palumbus,Sylvia_melanocephala,Sylvia_undata,Sturnus_vulgaris,Phoenicurus_phoenicurus,Cyanopica_cooki,Sylvia_communis,Sylvia_cantillans
olan001,0.007936507936507936,0.003968253968253968,0.003968253968253968,0,0,0,0,0,0,0,0,0,0,0
olan002,0.015873015873015872,0.007936507936507936,0,0.003968253968253968,0,0,0,0,0,0,0,0,0,0
olan003,0,0.0041841004184100415,0.0041841004184100415,0,0,0,0,0,0,0,0,0,0,0
olan004,0.003968253968253968,0.007936507936507936,0,0,0,0,0,0,0,0,0,0,0,0
olan005,0.027777777777777776,0.027777777777777776,0,0,0.003968253968253968,0,0,0,0,0,0,0,0,0
olan006,0.003968253968253968,0,0,0,0,0,0,0,0,0,0,0,0,0
olan007,0.007936507936507936,0.011904761904761904,0,0,0,0.007936507936507936,0,0,0,0,0,0,0,0
olan009,0,0.003968253968253968,0,0,0,0,0,0,0,0,0,0,0,0
olan010,0.003968253968253968,0,0,0,0,0,0,0,0,0,0,0,0,0
olan011,0.008368200836820083,0.08786610878661087,0,0,0,0.0041841004184100415,0.0041841004184100415,0.016736401673640166,0.0041841004184100415,0,0,0,0,0
olan012,0.016736401673640166,0.0794979079497908,0.012552301255230125,0.008368200836820083,0,0,0,0.0041841004184100415,0.0041841004184100415,0,0,0,0,0
olan013,0,0.08786610878661087,0.008368200836820083,0,0,0.008368200836820083,0,0,0.0041841004184100415,0.0041841004184100415,0,0,0,0
olan014,0.008368200836820083,0.05439330543933055,0,0,0,0,0,0.008368200836820083,0,0,0.0041841004184100415,0,0,0
olan015,0.008368200836820083,0.0041841004184100415,0,0,0,0,0,0.0041841004184100415,0.0041841004184100415,0,0,0,0,0
olan016,0,0.04184100418410042,0,0,0,0,0,0,0,0,0,0,0,0
olan017,0.0041841004184100415,0.04602510460251046,0,0,0,0,0,0,0,0,0,0,0,0
olan018,0.02092050209205021,0.13389121338912133,0,0,0,0,0,0.0041841004184100415,0.008368200836820083,0,0.0041841004184100415,0.0041841004184100415,0.0041841004184100415,0
olan019,0,0.12133891213389121,0.0041841004184100415,0,0,0,0,0,0,0,0.0041841004184100415,0,0,0
olan020,0.008368200836820083,0.0502092050209205,0.008368200836820083,0,0,0,0,0,0.008368200836820083,0,0,0,0,0.0041841004184100415
