ind,Chloris_chloris,Cyanistes_caeruleus,Erithacus_rubecula,Hippolais_polyglotta,Luscinia_megarhynchos,Phoenicurus_phoenicurus,Sylvia_communis,Sylvia_melanocephala,Sylvia_undata,Turdus_merula,Turdus_philomelos,Cyanopica_cooki,Fringilla_coelebs,Parus_major,Saxicola_rubicola,Sylvia_atricapilla,Sylvia_hortensis,Turdus_viscivorus,Ficedula_hypoleuca,Sturnus_unicolor,Sylvia_borin,Columba_palumbus,Pyrrhula_pyrrhula,Lanius_meridionalis,Muscicapa_striata,Sylvia_cantillans,Coccothraustes_coccothraustes
301,174,11,2480,5,12,77,90,2845,163,230,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,201,17,1676,0,222,99,0,2535,0,500,30,79,26,17,75,226,25,3,0,0,0,0,0,0,0,0,0
303,286,0,1033,0,0,33,24,485,24,0,0,0,13,0,0,70,10,0,0,0,0,0,0,0,0,0,0
304,479,18,4348,12,43,750,70,5059,109,1334,0,37,117,53,54,341,93,0,34,74,15,0,0,0,0,0,0
305,230,0,212,0,0,0,0,717,0,0,3,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0
306,198,6,1413,0,0,0,31,1530,0,47,0,16,17,35,0,382,16,0,0,0,0,0,0,0,0,0,0
307,157,0,835,0,8,0,0,303,0,28,0,0,0,6,0,174,0,0,0,0,0,0,0,0,0,0,0
308,308,0,2712,0,0,47,0,942,70,0,6,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0
309,144,5,1451,0,12,30,17,419,23,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,181,0,611,0,9,39,0,1143,24,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,90,0,464,2,0,0,0,918,21,26,0,0,0,0,0,40,0,0,0,0,3,0,0,0,0,0,0
312,74,0,686,0,0,0,38,1091,0,0,0,0,0,0,0,280,0,0,0,192,25,0,0,0,0,0,0
313,354,0,934,0,0,49,25,1341,41,51,0,0,0,0,55,79,0,0,0,0,0,0,0,0,0,0,0
314,622,0,6611,0,63,296,75,5055,132,408,0,0,37,20,134,727,65,0,26,391,29,37,12,0,0,0,0
315,353,0,1368,0,20,56,55,2608,0,67,0,0,0,0,0,115,0,0,0,37,0,0,0,12,0,0,0
316,83,0,441,0,0,0,0,639,18,0,0,0,7,0,15,0,0,0,0,0,0,0,0,0,0,0,0
317,102,0,419,0,0,0,0,1179,0,28,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0
318,1432,0,2376,0,0,76,286,1949,0,345,0,0,52,0,0,188,0,0,0,0,0,0,0,0,3,0,0
319,129,0,888,3,0,72,0,1139,43,0,7,0,14,0,0,149,21,0,0,0,0,0,2,0,0,0,0
320,374,0,3908,0,0,255,45,1549,116,210,0,0,27,0,0,163,0,0,0,0,0,0,0,0,0,0,0
321,1069,0,3341,0,0,206,59,3525,0,244,11,57,0,15,0,1375,0,0,13,0,0,0,0,0,0,0,0
322,61,0,1180,0,8,31,16,572,23,31,0,8,11,0,0,102,0,0,0,0,0,0,0,4,0,0,0
323,0,0,1774,0,0,259,100,973,103,117,0,0,0,0,378,64,16,0,7,0,0,0,0,7,0,0,0
324,89,0,1355,0,0,0,66,609,0,0,0,0,0,0,17,52,11,0,0,0,0,0,0,0,0,4,0
325,41,0,1050,0,0,0,12,407,23,25,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1
326,726,0,1426,0,0,93,0,1224,73,82,0,0,16,8,0,212,95,0,9,0,0,0,0,0,0,0,0
327,121,0,944,0,0,59,0,1236,29,299,0,13,11,0,0,120,0,0,6,0,0,0,0,0,0,0,0
329,493,0,834,0,0,0,35,2360,39,63,0,0,0,0,26,80,33,0,0,0,5,0,0,0,0,10,0
330,207,0,632,0,0,40,0,1562,38,39,0,0,0,0,20,94,0,0,0,0,0,0,0,0,0,5,0
331,212,0,1283,0,0,204,26,1262,68,56,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0
332,570,0,1351,0,0,88,27,1463,40,63,0,0,0,12,0,319,18,0,0,0,0,0,0,7,0,0,0
334,171,0,1541,0,0,53,34,2373,66,0,0,0,0,38,26,84,0,0,0,0,0,0,0,7,0,0,0
335,0,0,1202,0,0,73,31,1534,128,0,0,0,0,0,63,103,0,0,0,0,0,0,0,5,0,0,0
336,707,0,2640,0,0,223,56,1418,99,124,9,0,0,0,0,336,28,0,0,0,0,0,0,0,5,0,0
337,754,11,2289,0,42,241,53,3841,122,753,14,306,37,17,72,401,44,0,0,0,0,0,0,12,0,0,0
338,1382,0,2186,0,0,221,0,1421,75,149,11,0,45,0,43,212,23,0,0,53,0,0,0,0,0,0,0
339,71,0,824,0,0,42,0,583,19,0,0,0,7,0,12,0,0,0,0,0,0,0,0,0,0,0,0
340,266,0,1287,0,0,130,36,1909,0,56,0,20,18,0,39,258,0,0,0,0,0,0,0,0,0,0,0
382,118,0,351,0,0,19,0,352,16,0,0,26,0,0,0,30,6,0,0,0,0,0,0,0,0,0,0
383,508,0,1312,0,0,0,35,2014,67,50,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0
