ind,Chloris_chloris,Erithacus_rubecula,Sylvia_melanocephala,Cyanopica_cooki,Phoenicurus_phoenicurus,Sylvia_atricapilla,Luscinia_megarhynchos,Sylvia_undata,Columba_palumbus,Fringilla_coelebs,Hippolais_polyglotta,Turdus_philomelos,Turdus_merula,Sylvia_cantillans,Saxicola_rubicola,Sylvia_communis
341,206,436,416,0,0,0,0,0,0,0,0,0,0,0,0,0
342,0,1228,309,193,174,19,0,0,0,0,0,0,0,0,0,0
343,0,362,58,0,0,0,2,0,0,0,0,0,0,0,0,0
344,46,434,171,0,0,18,0,25,0,0,0,0,0,0,0,0
345,51,215,129,0,0,0,0,0,0,0,0,0,0,0,0,0
346,151,2870,1607,0,53,0,0,0,0,0,0,0,0,0,0,0
347,20,65,25,0,0,0,0,0,10,1,0,0,0,0,0,0
348,88,893,654,0,0,0,0,0,0,0,4,0,0,0,0,0
349,0,588,136,0,0,0,0,0,0,0,0,0,0,0,0,0
350,69,1668,332,0,28,0,0,39,0,0,0,0,0,0,0,0
351,42,259,64,0,0,0,0,7,0,0,0,0,0,0,0,0
352,0,2772,575,208,0,0,0,0,0,0,0,99,0,0,0,0
353,27,324,114,0,0,0,0,7,0,0,0,0,5,0,0,0
354,851,2526,268,0,0,0,0,0,0,0,0,0,0,0,0,0
355,15,169,0,0,0,0,0,0,0,0,0,0,0,1,0,0
356,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357,0,82,31,0,3,0,0,0,0,0,0,0,0,0,0,0
358,0,368,0,10,20,0,0,0,0,0,0,0,0,0,0,0
359,182,677,104,0,0,0,0,0,0,0,0,0,0,0,0,0
360,92,641,335,0,0,11,0,0,0,0,0,0,0,0,0,0
361,0,189,127,0,0,0,0,0,0,0,0,0,0,0,0,0
362,0,789,163,0,0,0,0,0,0,0,0,0,0,0,0,0
363,1569,2658,3215,0,0,0,0,0,0,0,0,0,0,0,0,0
364,656,4017,1972,399,0,0,0,0,0,0,0,138,410,0,0,0
365,0,1800,630,1215,63,0,0,0,0,0,0,0,0,0,0,0
366,229,908,551,0,0,0,0,0,0,0,0,0,0,0,0,0
367,645,438,280,0,0,0,0,0,0,0,0,0,0,0,0,0
368,42,129,25,0,0,0,0,0,0,0,0,0,0,0,0,0
369,0,475,114,0,15,0,0,0,0,0,0,0,0,0,0,0
370,51,339,113,0,13,0,0,0,0,0,0,0,0,0,0,0
371,0,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0
372,0,181,29,0,0,0,0,0,0,0,0,0,0,0,0,0
373,32,52,30,0,0,0,0,0,0,0,0,0,0,0,0,0
374,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
375,11,106,15,0,0,0,0,0,0,0,0,0,0,0,0,0
376,103,129,53,0,0,0,0,0,0,0,0,0,0,0,0,0
378,13,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0
379,228,2034,428,0,0,0,0,0,0,0,0,0,0,0,30,6
380,143,1211,220,0,0,0,0,0,0,0,0,0,0,0,0,0
381,107,237,136,0,0,0,0,9,0,0,0,0,7,0,5,0
