ind,Parus_caeruleus,Regulus_ignicapillus,Turdus_philomelos,Parus_major,Sylvia_atricapilla,Fringilla_coelebs,Erithacus_rubecula,Turdus_merula,Turdus_iliacus,Phylloscopus_collybita,Ficedula_hypoleuca,Sitta_europaea,Parus_cristatus,Sylvia_borin,Certhia_brachydactyla,Aegithalos_caudatus,Garrulus_glandarius
17,39,1,3,0,10,0,21,52,0,1,6,0,9,0,3,10,0
8,48,2,0,0,3,0,5,40,0,0,1,0,2,0,1,8,0
10,124,6,10,4,40,3,12,68,27,10,1,1,0,0,0,0,2
13,3,1,0,1,2,0,1,2,56,0,0,1,0,0,0,0,0
12,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
25,8,0,1,0,15,0,3,0,0,1,0,0,0,0,0,0,0
189,93,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
9,3,1,2,0,12,0,0,4,0,10,0,0,0,0,0,0,0
35,3,0,0,1,8,0,7,32,0,0,0,0,0,2,0,0,0
465,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,3,0,4,1,0,0,0,0,0,0,0,0,0
69,4,0,0,0,9,0,9,21,0,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
31,4,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
4,4,0,4,0,2,0,1,7,0,1,0,0,0,0,0,0,0
2,1,0,0,0,15,0,0,0,0,4,0,0,0,0,0,0,0
30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
