ind,Ducula_badia,Gracula_indica,Iole_indica,Irena_puella,Macaca_radiata,Macaca_silenus,Ocyceros_griseus,Psilopogon_viridis,Pycnonotus_jocosus ,Ratufa_indica,Rubigula_gularis
HETR01,0,0,0,0,0,1,0,0,0,0,0
HETR02,0,13,0,0,0,0,0,0,0,0,0
HETR03,0,36,0,0,0,0,0,0,0,1,0
HETR05,0,0,0,0,0,0,5,0,0,0,0
HETR06,0,10,0,0,0,0,0,2,2,0,0
HETR07,1,6,0,0,0,0,1,1,0,0,1
HETR08,0,0,0,0,0,2,0,0,0,0,0
HETR09,0,2,1,0,0,0,0,0,0,0,0
HETR10,0,26,1,1,0,0,4,1,0,0,0
HETR12,0,0,0,1,0,0,0,0,0,1,0
HETR13,0,1,0,0,0,0,0,4,0,0,0
HETR16,0,2,0,2,0,0,0,1,0,0,0
HETR18,0,0,0,0,0,0,2,0,0,0,0
HETR19,0,0,0,0,6,0,0,0,0,0,0
HETR21,0,2,0,0,0,0,0,3,0,1,0
HETR22,3,0,0,0,0,0,2,2,0,0,0
HETR25,0,0,0,0,0,0,4,0,0,1,0
HETR26,0,7,0,0,2,0,0,1,0,0,0
HETR27,0,10,0,0,0,0,0,0,0,0,0
HETR28,0,2,0,0,0,0,0,0,0,0,0
HETR31,1,0,0,0,0,0,0,0,0,0,0
HETR32,0,0,0,1,0,0,0,0,0,0,0
HETR33,0,84,0,1,0,0,0,0,0,0,0
HETR35,0,0,0,0,0,0,0,1,0,0,0
