ind,Buceros_bicornis,Ducula_badia,Macaca_radiata,Macaca_silenus,Ocyceros_griseus,Ratufa_indica,Semnopithecus_johnii
MYDA01,0,0,0,0,1,0,0
MYDA02,0,0,0,0,1,0,0
MYDA03,0,0,0,0,6,0,0
MYDA04,0,0,3,1,5,0,0
MYDA05,0,0,0,0,0,0,2
MYDA08,0,2,0,0,10,4,8
MYDA09,0,1,0,0,0,0,0
MYDA10,0,1,0,0,0,0,0
MYDA11,0,0,0,0,1,0,0
MYDA13,3,0,0,4,34,6,0
MYDA14,0,0,0,0,10,0,0
MYDA15,0,0,0,0,5,2,0
MYDA16,0,1,0,0,7,0,0
MYDA17,0,0,0,0,1,0,0
MYDA18,0,2,0,0,0,0,0
MYDA19,1,0,0,0,0,1,0
MYDA20,0,0,0,0,2,0,0
MYDA21,0,2,0,0,7,1,0
MYDA23,0,0,0,0,5,0,0
MYDA24,0,0,0,0,2,0,1
MYDA25,0,3,0,0,1,0,2
MYDA27,0,0,0,0,1,0,0
MYDA28,0,0,0,0,1,0,0
MYDA32,2,1,0,0,6,1,9
MYDA33,0,0,0,0,1,0,0
