ind,Acridotheres_fuscus,Buceros_bicornis,Corvus_macrorhynchos,Dendrocitta_leucogastra,Ducula_badia,Funambulus_sublineatus,Geokichla_citrina,Gracula_indica,Hypsipetes_ganeesa,Iole_indica,Irena_puella,Myophonus_horsfieldii,Ocyceros_griseus,Oriolus_kundoo,Psilopogon_viridis,Pycnonotus_jocosus ,Ratufa_indica,Rubigula_gularis,Semnopithecus_johnii,Sturnia_blythii,Turdus_simillimus
PEMA01,0,0,0,0,0,0,0,11,0,0,1,0,2,0,9,0,0,0,0,0,0
PEMA02,0,0,0,0,0,0,0,13,1,2,0,0,2,0,7,0,0,0,0,0,0
PEMA03,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0
PEMA04,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0
PEMA05,0,0,0,0,0,0,0,38,0,0,0,0,1,0,23,6,0,0,0,0,6
PEMA06,0,0,0,0,0,0,0,2,0,0,0,0,0,0,20,9,0,0,0,0,0
PEMA07,0,0,0,0,0,0,0,5,0,0,0,0,2,0,4,0,0,0,0,0,0
PEMA08,0,0,0,0,0,0,0,2,0,2,0,0,3,0,19,0,0,0,0,0,0
PEMA09,0,0,0,4,0,0,10,36,0,73,5,3,1,16,42,71,0,2,0,22,7
PEMA10,0,0,0,0,4,0,0,15,0,2,1,0,0,0,11,2,0,0,0,1,0
PEMA11,0,0,0,1,0,0,2,1,0,13,1,0,0,0,8,0,2,0,0,0,0
PEMA12,0,0,0,0,0,0,0,4,0,9,1,0,0,0,9,0,1,1,0,0,0
PEMA13,0,0,0,0,0,0,0,7,0,61,1,0,2,0,1,0,0,0,0,1,0
PEMA14,0,0,0,4,1,0,1,3,0,47,4,0,2,0,11,63,0,14,0,6,0
PEMA15,0,0,0,0,0,0,3,14,0,232,0,2,5,0,29,1,0,1,0,1,0
PEMA16,0,0,0,3,2,0,0,21,0,15,9,0,2,0,58,9,0,4,0,40,0
PEMA17,0,1,0,0,0,0,0,23,2,0,0,0,3,0,54,2,2,0,0,0,0
PEMA18,0,0,0,0,0,1,1,7,0,3,0,3,1,0,15,0,1,0,0,0,0
PEMA19,0,0,0,0,0,0,0,4,9,10,0,0,0,0,1,6,0,0,10,0,0
PEMA20,0,0,0,0,0,0,1,0,22,21,1,0,1,0,3,0,3,0,0,0,0
PEMA21,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
PEMA22,0,0,0,0,0,0,2,15,0,23,0,1,0,0,4,56,0,0,0,3,0
PEMA23,0,0,3,0,0,3,0,18,0,4,3,3,2,0,34,154,1,2,0,101,0
PEMA24,0,0,0,0,0,0,3,14,0,44,0,1,0,0,42,12,0,0,10,4,0
PEMA25,0,0,0,0,0,0,0,0,0,13,0,0,0,0,1,0,0,1,0,0,0
PEMA26,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
PEMA27,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0
PEMA28,0,0,0,0,0,0,0,0,0,50,0,0,0,0,2,0,0,0,0,0,0
PEMA29,0,0,0,0,0,1,4,8,0,90,0,1,0,0,4,0,3,8,0,0,0
PEMA30,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0
PEMA31,0,0,0,0,0,0,1,8,0,0,0,16,4,0,54,0,1,0,0,0,0
PEMA32,16,0,0,0,0,0,0,10,6,58,0,2,0,0,1,20,0,0,0,0,1
