ind,Pipreola_sp,Penelope_purpurascens,Baryphthengus_martii,Sciurus_granatensis,Rodentia_sp,Cephalopterus_penduliger,Ramphastos_sp,Pteroglossus_erythropygius,Aulacorhynchus_haematopygus
18-0001,0,0,0,0,0,0,5,11,12
18-0008,0,0,1,1,0,0,2,1,0
18-0010,0,0,1,0,0,0,2,2,0
18-0013,0,0,1,0,0,0,0,8,2
18-0020,0,0,0,0,0,0,1,0,0
18-0021,0,0,0,0,0,0,1,0,1
18-0022,0,0,6,0,0,0,32,14,0
18-0027,0,0,17,1,0,0,0,0,0
18-0035,0,0,6,0,0,0,0,0,0
18-0053,0,0,3,0,0,0,1,0,12
18-0063,0,0,0,1,0,0,2,4,0
18-0064,0,0,1,1,0,0,1,1,0
18-0065,0,0,4,1,1,0,4,7,6
18-0066,0,0,1,0,6,0,6,4,3
18-0067,0,0,1,1,0,0,0,4,1
18-0069,0,0,0,0,0,0,1,3,0
18-0070,0,0,6,2,0,1,5,3,0
18-0071,1,0,4,0,0,1,1,5,3
18-0072,0,0,0,0,0,1,1,5,0
18-0073,0,0,1,0,0,0,0,6,1
18-0074,0,0,4,0,0,0,8,6,0
18-0089,0,0,12,0,2,0,14,15,0
18-0103,0,0,13,1,0,0,5,0,1
18-0104,0,0,4,0,0,0,1,2,5
18-0105,0,0,1,1,0,0,1,0,0
18-0106,0,0,1,0,0,0,1,0,0
18-0113,0,0,0,0,0,0,1,0,0
18-0131,0,0,2,0,0,1,0,0,0
18-0136,0,0,6,0,11,0,0,2,0
18-0247,0,1,12,0,0,1,12,43,0
18-0248,0,0,1,0,0,0,5,1,0
