ind,Alectoris_rufa,Cyanopica_cooki,Meles_meles,Oryctolagus_cuniculus,Sus_scrofa,Vulpes_vulpes,Bos_taurus,Lanius_senator,Turdus_merula,Lepus_granatensis,Sturnus_unicolor,Saxicola_rubicola,Dama_dama,Galerida_cristata,Muscicapa_striata
A01,28,7,1,2,6,1,0,0,0,0,0,0,0,0,0
A02,11,20,0,0,10,0,1,1,1,0,0,0,0,0,0
A03,29,0,0,0,11,0,0,0,0,0,0,0,0,0,0
A04,4,14,0,0,2,1,0,0,1,0,0,0,0,0,0
A05,35,3,0,3,3,0,1,0,0,2,50,0,0,0,0
A06,29,6,0,1,3,0,0,0,0,0,20,2,0,0,0
A07,48,1,1,7,11,0,0,0,0,0,0,2,0,0,0
A08,21,3,0,4,1,0,1,0,0,0,0,0,0,0,0
A09,42,3,0,4,13,0,1,0,2,0,0,0,0,0,0
A10,2,0,0,3,18,0,0,0,1,0,0,1,1,0,0
A11,18,13,1,6,10,0,3,0,0,0,0,3,0,0,0
A12,56,3,0,3,4,0,0,0,0,0,0,1,0,0,0
A13,29,22,0,18,35,0,0,0,0,1,15,0,0,2,0
A14,9,0,0,2,24,0,0,0,2,0,0,0,0,0,0
A15,8,8,1,3,41,0,0,0,0,2,0,0,0,0,0
A16,8,0,1,2,4,0,0,0,0,0,0,0,0,0,0
A17,52,9,0,23,6,0,0,0,0,0,0,3,1,0,0
A18,15,0,0,3,3,0,0,0,0,0,0,0,0,0,0
A19,2,1,0,4,8,0,0,0,0,0,0,1,0,0,0
A20,4,10,0,4,1,0,0,0,0,0,0,1,0,0,0
A21,17,25,0,7,28,0,1,0,7,1,0,0,0,0,1
A22,9,11,0,3,20,0,0,0,0,0,3,0,0,0,0
A23,8,6,0,0,22,0,0,0,1,0,0,0,0,0,0
A24,4,10,0,12,8,0,0,0,0,0,0,0,3,0,0
