ind,Pycnonotus_cafer,Pycnonotus_luteolus,Pycnonotus_jocosus,Leptocoma_zeylonica,Dicaeum_erythrorhynchos,Pycnonotus_xantholaemus,Turdoides_affinis,Merops_orientalis,Orthotomus_sutorius,Lonchura_punctulata,Aegithina_tiphia
BURD01,17,0,0,0,0,0,0,0,0,0,0
BURD02,4,0,0,0,0,0,0,0,0,0,0
BURD03,0,6,1,0,0,0,0,0,0,0,0
BURD04,0,9,7,0,0,0,0,0,0,0,0
BURD05,0,7,14,2,0,0,0,0,0,0,0
BURD06,0,2,2,1,1,0,0,0,0,0,0
BURD07,0,1,0,0,0,0,0,0,0,0,0
BURD08,0,1,0,0,0,0,0,0,0,0,0
BURD09,0,3,11,4,3,3,6,1,2,0,0
BURD10,1,0,2,3,0,2,8,0,0,5,0
BURD11,1,7,3,0,0,0,0,0,0,0,0
BURD12,0,1,0,0,0,0,0,0,0,0,0
BURD13,0,1,2,0,0,0,0,0,0,0,0
BURD14,7,6,4,1,3,0,0,0,1,0,1
BURD15,0,0,2,0,0,0,0,0,0,0,0
