ind,Pycnonotus_luteolus,Pycnonotus_cafer,Orthotomus_sutorius,Dicaeum_erythrorhynchos,Aegithina_tiphia,Turdoides_affinis,Pycnonotus_jocosus,Cinnyris_asiaticus,Leptocoma_zeylonica,Eudynamys_scolopaceus
SANA01,3,2,0,0,0,0,0,0,0,0
SANA02,7,2,3,2,1,4,2,0,0,0
SANA03,1,3,0,2,0,0,0,1,0,0
SANA04,0,1,0,0,0,0,0,0,0,0
SANA05,0,1,0,0,0,0,0,0,0,0
SANA06,0,1,0,0,0,0,0,0,0,0
SANA07,4,5,0,0,0,0,0,0,0,0
SANA09,3,2,0,1,0,0,0,0,0,0
SANA10,3,0,0,3,0,0,0,0,0,0
SANA11,2,1,0,1,0,0,0,0,0,0
SANA12,1,3,0,3,0,0,0,0,0,0
SANA13,3,2,0,1,0,0,0,0,1,0
SANA14,1,0,0,2,0,0,0,0,0,1
SANA15,0,0,1,0,0,0,0,0,1,0
