ind,Pycnonotus_cafer,Pycnonotus_luteolus,Spilopelia_chinensis,Saxicoloides_fulicatus,Orthotomus_sutorius,Megalaima_haemacephala,Pycnonotus_jocosus,Merops_orientalis,Prinia_socialis,Eudynamys_scolopaceus,Dicaeum_erythrorhynchos,Cinnyris_asiaticus,Lonchura_punctulata
ZIZO01,2,5,1,0,0,0,0,0,0,0,0,0,0
ZIZO02,6,9,0,2,1,2,3,1,0,0,0,0,0
ZIZO03,5,8,0,5,1,0,2,0,2,1,0,0,0
ZIZO04,4,19,0,1,1,0,3,0,0,5,2,1,0
ZIZO05,2,13,0,3,1,0,7,0,0,1,3,1,0
ZIZO06,3,15,0,2,1,1,4,0,0,1,1,1,0
ZIZO07,23,13,0,0,0,0,5,0,0,4,0,10,0
ZIZO08,3,12,0,1,0,0,4,0,0,1,2,1,0
ZIZO09,7,12,0,0,0,0,4,0,0,1,4,0,0
ZIZO10,5,18,0,1,0,0,6,0,0,1,1,4,0
ZIZO11,6,22,0,0,0,0,4,0,0,3,2,2,0
ZIZO12,5,6,0,0,0,0,3,0,0,2,1,0,0
ZIZO13,5,12,0,0,0,1,1,0,0,1,1,2,0
ZIZO14,6,12,0,2,0,3,5,0,0,2,1,3,2
ZIZO15,5,13,1,0,1,2,2,0,0,2,2,2,0
