ind,Cervus_elaphus,Sus_scrofa,Oryctolagus_cuniculus,Rattus_sp,Vulpes_vulpes,Meles_meles
CHU0108,0,0,1,0,0,0
CHU096M,11,0,0,0,0,2
CHU105M,0,0,4,0,0,1
CHU114M,6,0,1,0,0,1
EM001H,1,0,0,0,0,1
EM003H,0,0,1,0,0,0
EM007,0,0,1,1,0,0
EM008,1,0,1,0,0,0
EM009,0,0,2,0,0,0
EM013,2,0,7,2,0,0
EM031,0,0,2,1,0,0
EM044,0,0,1,2,0,0
EM054,0,0,0,2,0,0
EM060,0,0,3,2,0,0
EM062B,2,0,0,2,0,0
EM066H,0,0,1,0,0,0
EM083H,0,0,0,2,0,0
EM090H,0,0,0,4,0,0
EM117H,2,0,2,0,0,0
EM123H,1,0,1,2,0,0
EM128,1,0,0,3,0,1
EM133,3,0,0,4,0,0
EM138,1,0,0,1,0,0
EM142,0,0,0,1,0,0
EM155,2,0,0,0,0,0
EM160,2,0,2,0,0,0
EM163,0,0,0,1,0,0
EM171,1,0,12,0,0,0
EM190,0,1,5,3,0,0
EM193,2,0,0,0,0,0
EM199,0,0,5,3,0,2
EM227,1,0,1,0,0,0
EM234,0,0,1,0,0,0
EM240,5,0,0,0,0,3
EM291H,2,1,9,2,0,0
EM293,0,0,0,1,0,0
EM297H,3,0,4,0,0,0
EM298H,4,0,10,5,1,0
EM300H,0,0,3,6,1,0
