ind,Elaenia_cristata,Elaenia_chiriquensis,Elaenia_obscura,Camptostoma_obsoletum,Schistochlamys_ruficapillus,Saltatricula_atricollis,Tangara_cayana,Mimus_saturninus,Zonotrichia_capensis
Mi1,7,0,0,0,10,0,0,0,0
Mi3,4,0,0,3,2,0,0,1,0
Mi4,11,5,0,2,1,0,0,2,0
Mi5,33,0,0,0,10,0,0,0,5
Mi6,10,6,0,3,6,3,4,1,8
Mi7,2,3,0,4,0,0,0,0,3
Mi8,6,0,0,0,0,5,3,2,1
Mi10,9,0,0,5,4,7,0,13,4
Mi12,4,0,0,3,3,0,0,0,0
Mi14,33,2,1,0,12,0,0,0,2
Mi17,8,3,0,1,9,0,5,5,0
Mi18,8,3,0,0,0,0,0,0,8
Mi20,15,0,0,0,54,0,0,0,0
Mi21,0,0,0,0,0,0,0,5,1
Mi23,7,0,0,0,0,0,0,0,0
