ind,Cervus_elaphus,Vulpes_vulpes,Meles_meles,Genetta_genetta,Oryctolagus_cuniculus,Dama_dama,Turdus_philomelos,Sus_scrofa,Lepus_granatensis,Turdus_merula,Lanius_senator
Jmac001,15,2,0,0,2,2,0,12,0,0,0
Jmac002,2,1,0,0,0,0,1,1,0,5,0
Jmac003,2,5,5,1,1,0,1,4,1,1,0
Jmac006,22,1,0,0,0,2,0,0,0,0,0
Jmac007,5,2,1,0,5,0,0,1,0,2,0
Jmac008,5,0,0,0,0,0,0,0,0,0,0
Jmac009,4,0,0,0,0,3,0,1,0,1,0
Jmac011,36,1,0,0,0,11,0,0,0,2,1
Jmac004,17,0,0,0,0,0,0,1,0,1,0
Jmac005,24,1,0,0,0,0,0,10,0,0,1
Jmac010,1,0,0,0,0,0,0,0,0,0,0
Jmac013,0,16,0,0,0,0,1,6,0,4,0
Jmac014,2,0,0,0,0,0,0,0,0,0,0
Jmac016,1,0,0,0,0,0,0,0,0,0,0
Jmac017,1,0,0,0,0,0,0,1,0,0,0
Jmac018,4,0,0,0,0,0,0,0,0,0,0
Jmac019,2,0,0,0,0,0,0,0,0,0,0
Jmac023,6,0,0,0,0,0,0,1,0,0,0
Jmac024,9,0,0,0,0,0,0,2,0,0,0
Jmac025,3,0,0,0,0,0,0,0,0,0,0
Jmac026,3,0,0,0,0,0,1,1,0,0,0
Jmac027,6,0,0,0,1,0,1,0,0,1,0
Jmac012,4,0,0,0,0,0,0,0,0,0,0
Jmac028,2,0,0,0,0,0,0,0,0,0,0
Jmac029,0,0,0,0,0,0,0,1,0,0,0
Jmac015,1,0,0,0,0,0,0,0,0,0,0
