ind,Curruca_communis,Curruca_hortensis,Curruca_iberiae,Curruca_melanocephala,Erithacus_rubecula,Mus_spretus,Sturnus_unicolor,Sylvia_atricapilla,Sylvia_borin,Turdus_merula,Apodemus_sylvaticus,Ficedula_hypoleuca,Fringilla_coelebs,Muscicapa_striata,Phoenicurus_phoenicurus,Chloris_chloris
pang001,1,5,5,2,25,5,3,28,7,20,0,0,0,0,0,0
pang002,2,0,2,2,3,2,0,4,0,8,0,0,0,0,0,0
pang003,0,4,4,6,10,0,9,11,1,9,0,0,0,0,0,0
pang004,1,0,1,2,3,0,3,44,3,17,0,0,0,0,0,0
pang005,1,2,0,1,16,17,2,23,7,4,3,1,1,4,1,0
pang006,1,3,0,1,1,0,0,37,3,8,0,0,0,0,0,0
pang007,0,0,0,3,1,0,17,0,0,0,0,0,0,0,5,0
pang008,0,2,0,6,9,0,0,2,0,0,0,0,0,0,6,1
pang009,3,1,0,0,0,0,2,3,1,3,1,0,0,0,0,0
pang010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
