ind,Capito_auratus,Dacnis_cayana,Dixiphia_pipra,Dixiphia_rubrocapilla,Euphonia_laniirostris,Euphonia_rufiventris,Lepidothrix_coronata,Lipaugus_vociferans,Pachyramphus_rufus,Patagioenas_plumbea,Pteroglossus_beauharnaesii,Tachyphonus_luctuosus,Tachyphonus_surinamus,Tangara_chilensis,Tangara_schrankii,Tangara_velia,Tityra_inquisitor,Trogon_collaris,Trogon_melanurus,Trogon_mesurus,Turdus_albicollis,Patagioenas_subvinacea,Euphonia_chlorotica,Euphonia_minuta,Tangara_gyrola,Tyranneutes_stolzmanni,Celeus_elegans,Cotinga_maynana,Ramphastos_tucanus,Rhytipterna_simplex,Trogon_violaceus,Ramphastos_vitellinus,Machaeroptus_regulus,Tityra_semifasciata,Chlorophanes_spiza,Pteroglossus_azara,Tityra_cayana,Trogon_viridis,Selenidera_reinwardtii,Tachyphonus_rufiventer,Leontocebus_nigrifrons,Saguinus_mystax,Saltator_coerulescens
ML03,2,2,131,13,5,1,12,2,1,20,1,2,11,6,13,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML05,0,0,64,7,0,0,5,0,0,3,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML27,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML31,0,0,9,3,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML34,0,0,2,0,0,1,5,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML35,5,0,18,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ML37,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML40,0,0,12,3,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ML47,0,0,8,0,0,0,21,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
ML52,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML54,0,0,5,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML55,0,0,94,19,0,2,3,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,3,1,1,1,0,0,0,0,0
ML59,1,0,29,2,1,2,0,1,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0
ML60,0,0,9,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML61,0,0,16,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML64,3,0,18,0,0,5,5,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ML72,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML76,0,0,15,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
ML81,0,0,5,0,0,0,4,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML82,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML84,0,0,22,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,1
ML91,0,0,12,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
