ind,Erithacus_rubecula,Sylvia_atricapilla,Turdus_philomelos,Turdus_merula,Psammodromus_algirus,Apodemus_sylvaticus,Columba_palumbus,Sylvia_melanocephala,Sylvia_undata,Sturnus_vulgaris,Phoenicurus_phoenicurus,Cyanopica_cooki,Sylvia_communis,Sylvia_cantillans
olan001,2,1,1,0,0,0,0,0,0,0,0,0,0,0
olan002,4,2,0,1,0,0,0,0,0,0,0,0,0,0
olan003,0,1,1,0,0,0,0,0,0,0,0,0,0,0
olan004,1,2,0,0,0,0,0,0,0,0,0,0,0,0
olan005,7,7,0,0,1,0,0,0,0,0,0,0,0,0
olan006,1,0,0,0,0,0,0,0,0,0,0,0,0,0
olan007,2,3,0,0,0,2,0,0,0,0,0,0,0,0
olan009,0,1,0,0,0,0,0,0,0,0,0,0,0,0
olan010,1,0,0,0,0,0,0,0,0,0,0,0,0,0
olan011,2,21,0,0,0,1,1,4,1,0,0,0,0,0
olan012,4,19,3,2,0,0,0,1,1,0,0,0,0,0
olan013,0,21,2,0,0,2,0,0,1,1,0,0,0,0
olan014,2,13,0,0,0,0,0,2,0,0,1,0,0,0
olan015,2,1,0,0,0,0,0,1,1,0,0,0,0,0
olan016,0,10,0,0,0,0,0,0,0,0,0,0,0,0
olan017,1,11,0,0,0,0,0,0,0,0,0,0,0,0
olan018,5,32,0,0,0,0,0,1,2,0,1,1,1,0
olan019,0,29,1,0,0,0,0,0,0,0,1,0,0,0
olan020,2,12,2,0,0,0,0,0,2,0,0,0,0,1
