ind,se_bc_days,se_bc_area,se_per_bc_cover,se_cam_days,se_per_cam_cover
M029,414,0.5478,0.1043428571,84,60
M036,414,0.5114,0.117293578,90,60
M058,414,0.52,0.02888888889,81,60
M065,414,0.4952,0.6974647887000001,87,60
M087,414,0.4808,0.06047798742,78,60
M136,414,0.5536,0.07908571429,93,60
M139,414,0.525,0.1411290323,94,60
M144,414,0.7397,0.3793333333,85,60
M176,414,0.5472,0.04145454545,81,60
M207,414,0.4732,0.03725984252,68,60
M208,414,0.516,0.07392550143,95,60
M215,414,0.792,0.03130434783,87,40
M219,414,0.49,0.09589041096,84,60
M304,414,0.53,0.02717948718,179,60
M315,414,0.525,0.1161504425,85,60
M381,414,0.5532,0.05319230768999999,63,60
M457,414,0.54,0.03050847457999999,76,60
M460,414,0.5568,0.04419047618999999,81,60
M518,414,0.565,0.03575949367,66,60
M520,414,0.5408,0.17445161290000002,90,60
M531,414,0.501,0.05616591928,72,60
M541,414,0.5438,0.06866161616000001,78,60
M581,414,0.5195,0.0699192463,85,60
M648,414,0.54,0.05142857142999999,60,60
M664,414,0.501,0.06566186107,95,60
M694,414,0.51,0.06746031746,84,60
M702,414,0.528,0.04844036697,83,60
M749,414,0.77,0.06814159292000001,63,60
M820,414,0.5376,0.05725239617,87,60
M826,414,0.4985,0.03834615385,83,60
M843,414,0.57,0.04559999999999999,75,60
M847,414,0.51,0.375,67,60
M849,414,0.51,0.2266666667,72,60
M956,414,0.588,0.02813397129,187,60
M986,414,0.75,0.04716981132,102,60
