ind,se_obs_h
PEMA01,5.166666666666667
PEMA02,5.116666666666666
PEMA03,5.25
PEMA04,4.683333333333334
PEMA05,5.533333333333333
PEMA06,5.066666666666666
PEMA07,6.15
PEMA08,5
PEMA09,5.083333333333333
PEMA10,4.166666666666667
PEMA11,5.166666666666667
PEMA12,4.583333333333333
PEMA13,5
PEMA14,4.3
PEMA15,5.083333333333333
PEMA16,3.45
PEMA17,5.133333333333334
PEMA18,3.5833333333333335
PEMA19,4
PEMA20,5.216666666666667
PEMA21,4
PEMA22,5.1
PEMA23,4.216666666666667
PEMA24,4.233333333333333
PEMA25,5.05
PEMA26,3.5
PEMA27,3.5
PEMA28,5.05
PEMA29,4.066666666666666
PEMA30,4.166666666666667
PEMA31,5
PEMA32,5
