ind,se_cam_days_21_22,se_cam_days_22_23,se_cam_days
Jmac001,150.8861111111255,58.34027777778101,209.2263888889065
Jmac002,108.53750000000582,69.1652777777781,177.70277777778392
Jmac003,84.70902777776064,83.33472222221462,168.04374999997526
Jmac004,109.4013888888876,97.9312499999869,207.3326388888745
Jmac006,165.91666666667152,37.076388888890506,202.993055555562
Jmac007,165.90555555556057,97.94930555556492,263.8548611111255
Jmac009,140.38194444443798,98.02569444444087,238.4076388888789
Jmac011,163.82569444445107,37.13333333333139,200.95902777778247
Jmac012,164.25486111110513,98.07430555555766,262.3291666666628
Jmac014,NA,98.06388888889342,98.06388888889342
Jmac015,NA,68.43055555555475,68.43055555555475
Jmac016,NA,88.23333333332994,88.23333333332994
Jmac017,NA,64.0708333333314,64.0708333333314
Jmac018,NA,79.22013888888614,79.22013888888614
Jmac019,NA,30.6694444444438,30.6694444444438
Jmac020,NA,41.22986111111095,41.22986111111095
Jmac021,NA,49.92708333332848,49.92708333332848
Jmac022,NA,98.02638888889489,98.02638888889489
Jmac023,NA,82.91805555555038,82.91805555555038
Jmac024,NA,53.415277777770825,53.415277777770825
Jmac025,NA,53.05624999999418,53.05624999999418
Jmac026,NA,93.67013888888324,93.67013888888324
Jmac027,NA,97.8312500000102,97.8312500000102
Jmac028,NA,98.0090277777781,98.0090277777781
Jmac029,NA,36.08541666666133,36.08541666666133
Jmac005,164.3729166666526,NA,164.3729166666526
Jmac008,159.12916666665114,NA,159.12916666665114
Jmac010,126.19097222223354,NA,126.19097222223354
Jmac013,105.31666666665842,NA,105.31666666665842
