ind,se_obs_prop_tree,se_obs_min,se_obs_h
ZO03,0.75,180,3
ZO09,1,180,3
ZO18,0.85,180,3
ZO23,1,180,3
ZO06,0.75,180,3
ZO11,0.9,180,3
ZO17,1,180,3
ZO22,0.5,180,3
ZO04,0.9,180,3
ZO10,0.9,180,3
ZO13,0.85,180,3
ZO19,0.95,180,3
ME02,0.85,180,3
ZO02,0.7,180,3
ZO08,0.75,170,2.8333333333333335
ZO14,0.9,180,3
ZO21,0.7,180,3
ME03,1,180,3
ME06,1,180,3
ME07,1,180,3
ZO01,1,180,3
ZO07,0.8,180,3
ZO15,0.85,180,3
ZO20,0.75,180,3
ME01,0.9,180,3
ME04,1,180,3
ME05,1,180,3
ZO05,0.7,180,3
ZO12,0.7,180,3
ZO16,0.65,180,3
