net_code;net_id;sampling_effort;necessary_stand;ref;plant_sp
ind_01_01;01_01;;NO;Quintero et al 2023 Ecology letters;Pistacia lentiscus
ind_01_02;01_02;;NO;Quintero et al 2023 Ecology letters;Pistacia lentiscus
ind_02_01;02_01;;NO;Isla et al 2023 PRSB;Juniperus phoenicea
ind_02_02;02_02;;NO;Isla et al 2023 PRSB;Juniperus phoenicea
ind_02_03;02_03;;NO;Isla et al 2023 PRSB;Juniperus phoenicea
ind_03_01;03_01;se_obs_h;NO;Vergara-Tabares et al 2022 Oikos;Lithraea molleoides
ind_03_02;03_02;se_obs_h;NO;Vergara-Tabares et al 2022 Oikos;Lithraea molleoides
ind_03_03;03_03;se_obs_h;NO;Vergara-Tabares et al 2022 Oikos;Lithraea molleoides
ind_03_04;03_04;se_obs_h;NO;Vergara-Tabares et al 2022 Oikos;Lithraea molleoides
ind_03_05;03_05;se_obs_h;NO;Vergara-Tabares et al 2022 Oikos;Lithraea molleoides
ind_03_06;03_06;se_obs_h;NO;Vergara-Tabares et al 2022 Oikos;Lithraea molleoides
ind_04_01;04_01;se_obs_h;YES;Rodriguez-Sanchez 2010 PhD thesis;Laurus nobilis
ind_05_01;05_01;se_obs_h;YES;Jordano 1995 Ecology;Prunus mahaleb
ind_06_01;06_01;se_obs_h;NO;Friedemann et al 2022 Oikos;Euterpe edulis
ind_06_02;06_02;se_obs_h;NO;Friedemann et al 2022 Oikos;Euterpe edulis
ind_06_03;06_03;se_obs_h;NO;Friedemann et al 2022 Oikos;Euterpe edulis
ind_07_01;07_01;se_obs_h;NO;Cecropia Frugivory course;Cecropia glaziovii
ind_08_02;08_02;se_obs_h;YES;Gopal et al 2020 Biotropica;Heynea trijuga
ind_08_03;08_03;se_obs_h;YES;Gopal et al 2020 Biotropica;Myristica dactyloides
ind_08_04;08_04;se_obs_h;YES;Gopal et al 2020 Biotropica;Persea macrantha
ind_09_01;09_01;se_obs_h;NO;Crestani et al 2018 Acta Oecologica;Henriettea succosa
ind_10_01;10_01;se_cam_h;YES;Lamperty et al 2021 Biotropica;Prestoea decurrens
ind_11_01;11_01;se_cam_days;YES;Corema album - unpublished;Corema album
ind_12_02;12_02;se_obs_h;YES;Ramaswami et al 2017 Plant Ecology;Bursera penicillata
ind_12_03;12_03;se_obs_h;YES;Ramaswami et al 2017 Plant Ecology;Erythroxylum monogynum
ind_12_04;12_04;se_obs_h;YES;Ramaswami et al 2017 Plant Ecology;Flacourtia indica
ind_12_05;12_05;se_obs_h;YES;Ramaswami et al 2017 Plant Ecology;Flueggea leucopyrus
ind_12_08;12_08;se_obs_h;YES;Ramaswami et al 2017 Plant Ecology;Canthium coromandelicum
ind_12_09;12_09;se_obs_h;YES;Ramaswami et al 2017 Plant Ecology;Santalum album
ind_12_10;12_10;se_obs_h;YES;Ramaswami et al 2017 Plant Ecology;Ziziphus oenopolia
ind_13_01;13_01;se_obs_days;NO;Jacome-Flores et al 2019 Oikos;Chamaerops humilis
ind_13_02;13_02;se_obs_days;NO;Jacome-Flores et al 2019 Oikos;Chamaerops humilis
ind_14_01;14_01;se_obs_h;NO;Guerra et al 2017 Oecologia;Miconia irwinii
ind_15_01;15_01;se_cam_days;YES;Juniperus macrocarpa - unpublished;Juniperus macrocarpa
ind_16_01;16_01;se_cam_h;NO;Miguel et al 2018 Oikos;Prosopis flexuosa
ind_16_02;16_02;se_cam_h;NO;Miguel et al 2018 Oikos;Prosopis flexuosa
ind_16_03;16_03;se_cam_h;NO;Miguel et al 2018 Oikos;Prosopis flexuosa
ind_16_04;16_04;se_cam_h;NO;Miguel et al 2018 Oikos;Prosopis flexuosa
ind_16_05;16_05;se_cam_h;NO;Miguel et al 2018 Oikos;Prosopis flexuosa
ind_17_01;17_01;se_obs_h;NO;Visotto et al 2022 Oecologia;Schinus terebinthifolia
ind_18_01;18_01;se_bc_days;YES;Phyllirea angustifolia - unpublished;Phillyrea angustifolia
ind_18_02;18_02;se_bc_days;YES;Phyllirea angustifolia - unpublished;Phillyrea angustifolia
ind_19_01;19_01;se_obs_h;YES;Thiel et al 2023 Biotropica;Marcgravia longifolia
ind_20_01;20_01;se_bc_days;YES;Osyris lanceolata - unpublished;Osyris lanceolata
ind_21_01;21_01;se_obs_h;YES;Jayanth et al 2024 Biotropica;Naringi crenulata
ind_21_02;21_02;se_obs_h;YES;Jayanth et al 2024 Biotropica;Ziziphus oenopolia
sp_01_01;01_01;;NO;Olesen et al 2011 PRSB;NA
sp_01_02;01_02;;NO;Olesen et al 2011 PRSB;NA
sp_02_01;02_01;;NO;Garcia-Castaño et al 2011 PhD thesis;NA
sp_04_01;04_01;;NO;Beehler 1983 Auk;NA
sp_06_01;06_01;;NO;Frost 1980 Acta XVII Cong. Internat. Ornitho.;NA
sp_07_01;07_01;;NO;Guitián 1983 PhD thesis;NA
