sp;Manucodia_chalybatus;Manucodia_keraudrenii;Ptiloris_magnificus;Epimachus_albertisii;Lophorina_superba;Parotia_lawesii;Diphyllodes_magnificus;Paradisaea_raggiana;Paradisaea_rudolphi
Aglaia;0;0;0;0;0;1;0;3;0
Aporusa;0;0;0;0;1;0;0;0;0
Canthium;0;0;0;0;0;0;1;0;0
Chisocheton;1;7;16;5;23;10;13;13;3
Cissus_hypoglauca;0;13;1;1;1;2;4;5;3
C._aristata;1;0;0;0;0;0;1;0;0
Dysoxylum;0;1;0;0;0;1;12;17;0
Elmerrillia;1;8;0;1;2;2;12;2;0
Endospermum;0;2;0;0;9;2;15;2;0
Ficus_drupacea;0;2;0;0;0;0;0;0;0
Ficus_gul;25;155;0;0;1;12;8;45;1
Ficus_odoardi;19;55;2;0;1;6;8;20;0
Ficus_202;1;2;0;0;0;0;1;0;0
Ficus_181;0;7;0;0;0;2;0;0;1
Ficus_217;0;9;0;0;0;0;0;0;0
Ficus_246;1;4;0;0;0;0;2;0;0
Ficus_275;8;40;0;0;2;1;5;13;4
Ficus_371;1;6;0;1;4;4;0;3;7
Gastonia;0;17;7;0;0;22;58;24;3
Glochidion;0;0;0;0;0;0;1;0;0
Homalanthus;0;4;8;0;17;10;104;75;23
Myristica;0;3;0;0;0;3;1;1;0
Pandanus;0;0;0;0;2;0;5;2;1
Piper;0;1;0;0;0;0;0;0;0
Schefflera;0;0;1;0;0;47;2;0;10
Sloanea_aberrans;0;0;0;0;0;0;2;0;0
Sloanea_sogerensis;0;2;0;0;2;2;4;1;0
Sterculia;0;0;0;0;0;1;0;0;0
Syzygium;0;8;0;0;0;1;0;1;0
Uvaria;0;2;0;0;0;0;0;0;0
Zingiberaceae;1;0;0;0;0;0;2;0;1
