sp;Tauraco_porphyrocephalus;Bycanistes_buccinator;Buccanodon_leucotis;Pogoniulus_bilineatus;Pycnonotus_barbatus;Cholorocichla_flaviventris;Andropadus_importunus;Lumprocolius_corruscus;Zosterops_pallidus;Other_species
Halleria_lucida;0;0;13;44;23;26;0;16;13;125
Ficus_natalensis;18;5;15;116;25;25;0;8;28;13
Ficus_vogelii;11;173;259;86;151;270;11;22;65;32
Trema_orientalis;0;0;0;92;13;9;4;4;53;44
Antidesma_venosum;2;0;3;36;11;4;1;0;18;11
Bridelia_micrantha;12;0;12;6;114;123;12;3;6;12
Vepris_undulata;0;0;0;62;0;47;26;0;13;11
Apodytes_dimidiata;0;0;0;30;3;164;5;20;10;20
Sideroxylon_inerme;4;0;4;38;0;112;25;2;0;6
Euclea_natalensis;3;0;8;27;8;51;2;0;0;4
Mimusops_caffra;5;0;0;3;3;11;0;3;0;0
Strelitzia_nicholai;0;0;5;10;26;0;0;0;0;0
Trichilia_emetica;2;2;0;41;10;83;3;29;0;0
Dovyalis_longispina;8;0;2;27;57;57;27;12;6;0
Ekebergia_capensis;13;10;14;5;1;7;1;12;6;0
Erianthemum_dregei;0;0;0;141;0;0;0;0;0;9
