sp;Sylvia_atricapilla;Erithacus_rubecula;Turdus_merula;Turdus_iliacus;Turdus_philomelos;Turdus_viscivorus;Garrulus_glandarius
Taxus_baccata;0;0;0;0;0;0;2.2
Sorbus_aucuparia;0;0;0.8;0.8;1;36.4;0
CMEN;0;0;0;0.4;0;0;0
Prunus_spinosa;0;0;0.4;0;0;0;2.2
RUCM;83.9;23.7;11.1;3.6;0;0;71.5
Fragaria_vespa;9;2.6;1.2;0;0;0;0
Rosa_spp.;0;0;2.2;0.4;0;0;10.9
Ilex_aquifolium;0;44.9;3.7;80.5;0;27.3;6.6
Hedera_helix;0;4.1;3.7;1.2;1;27.3;0
Solanum_nigrum;2.6;17.2;2.4;11.4;0;0;0
RPET;0;1.5;2.5;0;0;9.1;6.6
Vaccinium_myrtillus;2.6;0;70.4;0;98;0;0
