sp;Turdus_merula;Parus_palustris;Turdus_philomelos;Parus_caeruleus;Columba_palumbus;Turdus_iliacus;Sylvia_atricapilla;Erithacus_rubecula;Pyrrhula_pyrrhula;Turdus_pilaris;Parus_major;Sitta_europaea;Fringilla_coelebs;Aegithalos_caudatus
Sambucus_nigra;20.8;0;0.8;38;63;89.4;98;0;66.6;66.6;57.2;40;20;83.4
Crataegus_monogyna;52.9;83;93.2;30;0;0;0;0;0;0;0;23;0;0
Rubus_sp.;1.4;0;0;2;6.8;8.6;0;0;0;0;0;0;40;0
Bryonia_dioica;0;0;0;0;7.2;1.5;0;0;0;0;0;0;0;0
Hedera_helix;0;0;0;0;15.4;0.5;2;0;0;0;0;0;40;16.6
Euonymus_europaeus;0;0;0;0;1.2;0;0;0;0;0;0;0;0;0
Solanum_dulcamara;0;0;0;0;0.4;0;0;0;34.4;16.7;0;0;0;0
Prunus_spinosa;9.6;17;6;0;0;0;0;0;0;0;0;0;0;0
Rosa_sp.;3.6;0;0;0;0;0;0;0;0;0;0;10;0;0
Lonicera_periclymenum;11.3;0;0;30;0;0;0;0;0;16.7;28.5;27;0;0
Tamus_communis;0.4;0;0;0;6;0;0;100;0;0;14.3;0;0;0
