sp;Ptilinopus_magnificus;Ptilinopus_superbus;Ptilinopus_regina;Macropygia_amboinensis;Columba_leucomela;Ducula_spilorrhoa;Lopholaimus_antarcticus
Freycinetia_excelsa;0;0;0;1.34;0;0;0
Archontophoenix_alexandrae;1.01;1.81;3.74;0;0;0;0
Calamus_sp.;0;1.36;0;0;0;0;0
Pothos_loureirii;0.93;4.08;0;0.17;0;0;0
Flagellaria_sp.;0.39;1.36;0;0;0;0;0
Piper_sp.;0.16;0.61;0;0;0;0;0
Ficus_destruens;2.96;2.42;1.08;0;0;2.82;0
Ficus_leptoclada;0.47;0.76;0;0;0;0;0
Ficus_virens;0.39;0.45;0;0;0;5.63;0
Helicia_nortoniana;0;0;0;1.01;0;0;0
Dendrophthoe_falcata;0;0;2.14;0;0;0;0
Notothixos_subarueus;0.23;0.61;0;5.08;0;0;0
Hypaerpa_decumbens;0.31;0;0;0;0;0;0
Hypaerpa_laurina;0.16;0.76;0;0;0;0;0
Cananga_odorata;6.39;0;0;0;0;0;0
Rauwenhoffia_leichardtii;0;0.75;0;0;0;0;0
Myristica_muelleri;1.63;0.6;0;0;0;8.45;0
Tretasynandra_laxiflora;2.57;1.81;0;0;0;0;0
Cinnamomun_laubatii;0.48;0;0;0;27.3;0;0
Cryptocarya_hypospodia;2.42;0.45;0;0;0;36.62;0
Cryptocarya_mackinnoniana;4.82;6.05;0;0;0;0;33.5
Cryptocarya_cinnamomifolia_aff.;2.72;1.22;0;0;16.4;0;0
Endiandra_hypotephra;2.57;9.59;13.36;0;0;0;0
Endiandra_muelleri;2.88;3.46;3.74;0;0;0;0
Litsea_bindoniana;0.23;0.45;0;0.17;0;0;0
Litsea_leefeana;6.46;19.82;41.17;0;38.1;0;0
Litsea_glutinosa;0;0;0;0;0;5.63;0
Neolitsea_dealbata;6.46;2.87;0.53;0.51;18.2;0;0
Euodia_xanthoxyloides;0;0;0;11.87;0;0;0
Canarium_australianum;0.23;0.44;0;0;0;22.54;0
Melia_asederach;1.48;0;0;0;0;0;0
Dysoxylum_micranthum;2.43;0.76;0;0.17;0;0;0
Dysoxylum_oppositifolium;0.31;0.3;0;0;0;0;0
Dysoxylum_sp._aff._D._klanderi;0.86;0;0;0;0;0;0
Homalanthus_populifolius;0;0;0;3.55;0;0;0
Breynia_stipitata;0;0;0;0.85;0;0;0
Glochidion_ferdinandii;0;0.45;0;6.43;0;0;0
Citronella_emythii;0.23;0.61;0;0;0;0;0
Gomphandra_australiana;0.23;0;0;0;0;5.63;0
Ganophyllum_faloatum;0;0;1.6;0;0;0;0
Alphitonia_whitei;0;2.87;0;0;0;0;0
Cissus_sterculifolius;1.02;2.72;0;0;0;0;0
Cissus_hypoglauca;0.31;0.61;0;0.51;0;0;0
Aceratium_megalospermun;0;2.15;0;3.54;0;0;0
Elaeocarpus_grandis;30.93;0.61;0;0;0;0;0
Elaeocarpus_largiflorens;2.1;3.47;1.08;0;0;0;0
Elaeocarpus_arnhemicus;0;0.15;0;0;0;0;0
Elaeocarpus_grahamii;0.23;1.67;0;0.51;0;0;0
Hibbertia_scandens;0;0;0;12.52;0;0;0
Terminalia_sericocarpa;2.18;2.42;0;0;0;0;0
Eugenia_johnsonii;1.32;0.76;0;0;0;0;0
Eugenia_sp._aff._E._smithii;0.16;0.91;0;0;0;0;0
Pilidiostigma_tropicum;0;2.57;0;0;0;0;0
Tieghemopanax_elegans;0.67;0.57;14.18;21.23;0;0;0
Tieghemopanax_murrayi;2.67;1.2;13.09;11.94;0;0;0
Kissodendron_australianum;1.64;6.35;0;8.46;0;0;0
Embelia_sp.;0;0.61;0;0;0;0;0
Planchonella_obovoidea;1.01;0;0;0;0;0;0
Planchonella_obovata;0.16;0;0;0;0;0;0
Planchonella_xerocarpa;0;0;0;0.33;0;0;0
Symplocos_paucistamineus;0;1.97;0;0;0;0;0
Symplocos_etawellii;0.62;1.21;0;0;0;0;0
Linociera_ramiflora;0.23;0.61;4.28;0;0;12.68;0
Strychnos_colubrina;0.48;0;0;0;0;0;0
Gmelina_fasciculiflora;1.17;0;0;0;0;0;0
Lantana_camara;0;0;0;0.34;0;0;0
Clerodendrum_traceyanum;0;0.61;0;0;0;0;0
Solanum_torvum;0;0;0;9.13;0;0;0
Solanum_viride;0;0;0;0.34;0;0;0
Antirhea_tenuiflora;0.54;0.61;0;0;0;0;0
Canthium_coprosmoides;0;1.06;0;0;0;0;0
Morinda_jasminioides;0;0;0;0;0;0;0
