sp;Coccothraustes_coccothraustes;Dendrocopos_major;Erithacus_rubecula;Muscicapa_striata;Parus_major;Poecile_palustris;Sitta_europaea;Sylvia_atricapilla;Sylvia_borin;Turdus_merula;Turdus_philomelos;Turdus_pilaris;Turdus_viscivorus
Prunus_padus;4;0;0;1;14;0;0;13;1;18;1;1;1
Ribes_nigrum;0;0;0;0;0;0;0;0;0;0;3;0;0
Lonicera_xylosteum;0;0;0;0;0;0;0;0;0;1;2;0;0
Frangula_alnus;0;6;47;2;3;2;4;181;12;6;1;0;0
Cornus_sanguinea;0;0;33;0;0;0;0;36;0;6;2;0;0
Euonymus_verrucosus;0;0;2;0;0;0;0;1;0;0;0;0;0
Viburnum_opulus;0;0;24;0;2;0;0;3;0;2;0;0;0
Euonymus_europaeus;0;0;3;0;0;0;0;6;0;0;0;0;0
Sorbus_aucuparia;0;0;4;0;0;1;0;3;0;2;0;0;0
Rhamnus_cathartica;0;0;6;0;1;0;0;3;0;3;0;0;0
