sp;S_portoricensis;E_musica;N_speculiferus;L_portoricensus;V_altiloquous;M_portoricensis;Z_asiatica;T_dominicensis;M_fuscatus;c_squamosa;D_tignina;C_flaveola;V_flavirostris;V_latimeri;T_caudifasciatus;T_mexicanus;T_bicolor;M_antillarum;I_dominicensis;D_caerulescens
P_spp_;10;55;3;9;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
S_morototoni;55;1;4;1;3;0;0;4;1;5;1;1;0;0;1;0;0;0;0;0
C_schrebeiana;29;0;6;6;4;3;0;0;1;0;3;2;0;0;0;0;0;0;0;1
Ficus_spp_;34;0;4;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
G_guidonia;0;0;5;17;14;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0
C_sulcata;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A_latifolia;3;0;0;14;3;0;5;0;0;0;0;0;0;1;0;1;0;0;0;0
M_serrulata;6;2;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Clusea_rosea;0;0;1;0;11;3;0;1;0;0;0;0;0;0;0;0;0;1;1;0
Anthurium_scandens;1;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Inga_vera;4;0;8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Miconia_affinis;2;0;10;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Musa_acuminata;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dendropemon_bicolor;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Syzigium_jambos;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Myercine_coriacea;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Andira_inermis;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Coffea_arabica;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tilandsia_sp_;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Miconia_racemosa;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Palicourea_guianensis;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Casearia_arborea;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Citrus-sinensis;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Buchenavia_capitata;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dendropanax_arboreus;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Momordica_charantia;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Solanum_rugosum;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Henriettea_fascicularis;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Igna_laurina;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Palicourea_crocea;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zanthoxylum_martinicensis;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Philodendron_angustatum;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cissampelos_pareira;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Piper_sp.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
