sp;Carduelis_chloris;Coccothraustes_coccothraustes;Columba_palumbus;Corvus_coronecorone;Erithacus_rubecula;Ficedula_hypoleuca;Fringilla_coelebs;Garrulus_glandarius;Parus_caeruleus;Parus_major;Parus_montanus;Parus_palustris;Passer_domesticus;Passer_montanus;Phoenicurus_ochruros;Phoenicurus_phoenicurus;Phylloscopuscollybita;Pica_pica;Pyrrhula_pyrrhula;Sitta_europaea;Sturnus_vulgaris;Sylvia_atricapilla;Sylvia_borin;Sylvia_communis;Sylvia_curruca;Turdus_iliacus;Turdus_merula;Turdus_philomelos;Turdus_pilaris;Turdus_torquatus;Turdus_viscivorus
Amelanchier_lamarckii;2;16;4;0;0;0;4;0;5;1;0;0;210;8;0;0;0;0;0;0;0;24;15;0;1;0;111;0;46;0;0
Cornus_sanguinea;0;1;0;0;30;4;0;0;11;4;0;8;0;0;2;0;0;0;0;0;0;22;0;0;0;0;1;3;15;0;0
Crataegus_laeviagta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;0;0;0;0
Crataegus_monogyna;0;1;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;35;34;1;24;0;0
Euonymus_europaea;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fragaria_vesca;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0
Frangula_alnus;0;0;0;0;26;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;44;10;0;0;0;5;1;0;0;0
Hedera_helix;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;138;0;0;0;0;62;26;0;0;0
Ligustrum_vulgare;0;0;0;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;15;0;2;0;0
Lonicera_xylosteum;0;0;0;0;0;0;0;0;0;0;4;5;0;0;0;0;0;0;0;0;0;54;4;0;0;0;2;2;0;0;0
Malus_domestica;0;0;0;0;9;0;6;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;109;0;104;0;0
Prunus_avium;0;13;0;24;0;0;0;30;8;2;0;0;0;0;0;0;0;5;0;0;107;8;16;0;0;0;74;5;2;0;163
Prunus_domestica;0;0;0;0;1;0;0;3;22;7;0;3;12;0;0;0;1;0;0;1;0;0;0;0;0;0;3;0;0;0;0
Prunus_padus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72;32;0;0;0;28;4;0;0;0
Prunus_serotina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;0;0;0;38;10;0;0;0
Prunus_spinosa;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;0;0;0;0
Rhamnus_cathartica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;10;0;0;0;16;67;29;0;0;0
Ribes_rubrum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;6;0;1;0;7;0;0;0;0
Rosa_canina;76;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;91;7;23;0;0
Rubus_fruticosus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;1;0;0;0
Rubus_idaeus;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;7;26;3;0;0;1;0;0;0;0
Sambucus_nigra;0;0;0;0;46;2;0;8;77;5;0;10;0;8;1;1;0;0;15;0;43;464;83;7;2;33;136;167;0;0;0
Sambucus_racemosa;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;12;0;0;0;2;4;0;0;0
Sorbus_aria;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;3;0;0;0
Sorbus_aucuparia;3;7;10;14;10;0;0;3;6;2;0;10;0;0;4;0;0;4;21;0;36;48;15;1;0;0;259;75;295;0;315
Sorbus_torminalis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;4;0;0;0
Taxus_baccata;0;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;3;69;87;0;3;12
Viburnum_lantana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;5;0;0;0;0
Viburnum_opulus;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;13;0;0;0;0;10;4;49;0;0
Viscum_album;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;1;0;1;0;0;45
