sp;Chiroxiphia_boliviana;Anisognathus_somptuosus;Phyllomyias_sclatery;Tangara_vassorii;Aulacorhynchus_coeruleicinctis;Pyrrhura_molinae;Penelope_montagnii;Chlorospingus_ophthalmicus;Mionectes_striaticollis;Empidonomus_varius;Diglossa_cyanea;Pheucticus_aureoventris;Pipreola_frontalis;Psarocolius_atrovirens;Myioborus_miniatus;Lipaugus_uropygialis;Rupicola_peruvianus;Tangara_argyrofenges;Eubucco_versicolor;Tangara_xantocephala;Thraupis_cyanocephala;Turdus_albicollis;Aratinga_mitrata
Clusia_trochiformis;27;2;15;0;0;0;0;2;4;0;0;0;0;0;1;0;0;1;0;0;0;0;0
Miconia_cordata_;8;8;0;14;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Clusia_sphaerocarpa;2;0;1;0;0;0;0;2;0;6;0;0;0;0;0;0;0;0;0;0;0;1;0
Sapium;0;0;0;0;1;7;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0
Alchornea_triplinervia;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Psychotria_carthagenensis;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Clusia_lechleri;0;0;0;0;0;0;0;0;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0
Symplocos_arechea;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;1
Eugenia;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Coussarea;0;1;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dictyocaryum_lamarckianum;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
Hieronyma_moritziana;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ceroxylon_pityrophyllum;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hedyosmum_racemosum;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hesperomeles_ferruginea;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hieronyma_laxiflora;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Myrsine_coriaceae;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Guatteria_glauca;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hedyosmum_angustifolium;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Symplocos_colorata;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
