ind,Chloris_chloris,Cyanistes_caeruleus,Erithacus_rubecula,Hippolais_polyglotta,Luscinia_megarhynchos,Phoenicurus_phoenicurus,Sylvia_communis,Sylvia_melanocephala,Sylvia_undata,Turdus_merula,Turdus_philomelos,Cyanopica_cooki,Fringilla_coelebs,Parus_major,Saxicola_rubicola,Sylvia_atricapilla,Sylvia_hortensis,Turdus_viscivorus,Ficedula_hypoleuca,Sturnus_unicolor,Sylvia_borin,Columba_palumbus,Pyrrhula_pyrrhula,Lanius_meridionalis,Muscicapa_striata,Sylvia_cantillans,Coccothraustes_coccothraustes
301,0.0010513785748382145,6.646646162770322e-5,0.014985165894245818,3.0212028012592373e-5,7.25088672302217e-5,4.6526523139392255e-4,5.438165042266627e-4,0.01719064393916506,9.849121132105114e-4,0.0013897532885792491,7.855127283274017e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,0.0012145235261062134,1.0272089524281406e-4,0.010127071789820963,0,0.0013414140437591014,5.98198154649329e-4,0,0.015317498202384334,0,0.0030212028012592375,1.8127216807555424e-4,4.773500425989595e-4,1.5710254566548033e-4,1.0272089524281406e-4,4.531804201888856e-4,0.0013655836661691752,1.5106014006296186e-4,1.8127216807555424e-5,0,0,0,0,0,0,0,0,0
303,0.0017281280023202837,0,0.006241804987401584,0,0,1.9939938488310966e-4,1.450177344604434e-4,0.00293056671722146,1.450177344604434e-4,0,0,0,7.855127283274017e-5,0,0,4.2296839217629325e-4,6.0424056025184745e-5,0,0,0,0,0,0,0,0,0,0
304,0.0028943122836063494,1.0876330084533255e-4,0.026272379559750328,7.25088672302217e-5,2.598234409082944e-4,0.004531804201888856,4.2296839217629325e-4,0.03056852994314096,6.586222106745137e-4,0.008060569073759646,0,2.2356900729318357e-4,7.069614554946615e-4,3.2024749693347913e-4,3.2628990253599766e-4,0.0020604603104588,5.619437210342182e-4,0,2.0544179048562813e-4,4.4713801458636714e-4,9.063608403777712e-5,0,0,0,0,0,0
305,0.0013897532885792491,0,0.0012809899877339165,0,0,0,0,0.004332404817005747,0,0,1.8127216807555424e-5,0,0,0,0,2.900354689208868e-4,0,0,0,0,0,0,0,0,0,0,0
306,0.001196396309298658,3.625443361511085e-5,0.008537919116358605,0,0,0,1.8731457367807271e-4,0.009244880571853267,0,2.839930633183683e-4,0,9.667848964029559e-5,1.0272089524281406e-4,2.1148419608814663e-4,0,0.002308198940162057,9.667848964029559e-5,0,0,0,0,0,0,0,0,0,0
307,9.486576795954006e-4,0,0.005045408678102927,0,4.8339244820147796e-5,0,0,0.0018308488975630978,0,1.691873568705173e-4,0,0,0,3.625443361511085e-5,0,0.0010513785748382145,0,0,0,0,0,0,0,0,0,0,0
308,0.0018610609255756902,0,0.016387003994030102,0,0,2.839930633183683e-4,0,0.005691946077572403,4.2296839217629325e-4,0,3.625443361511085e-5,0,0,0,0,7.553007003148094e-4,0,0,0,0,0,0,0,0,0,0,0
309,8.701064067626604e-4,3.0212028012592373e-5,0.008767530529254306,0,7.25088672302217e-5,1.8127216807555424e-4,1.0272089524281406e-4,0.002531767947455241,1.3897532885792492e-4,1.8731457367807271e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,0.001093675414055844,0,0.003691909823138788,0,5.4381650422666274e-5,2.356538184982205e-4,0,0.006906469603678617,1.450177344604434e-4,1.9939938488310966e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
