ind,Chloris_chloris,Erithacus_rubecula,Sylvia_melanocephala,Cyanopica_cooki,Phoenicurus_phoenicurus,Sylvia_atricapilla,Luscinia_megarhynchos,Sylvia_undata,Columba_palumbus,Fringilla_coelebs,Hippolais_polyglotta,Turdus_philomelos,Turdus_merula,Sylvia_cantillans,Saxicola_rubicola,Sylvia_communis
341,0.003732695513517431,0.007900268174240777,0.007537870551569181,0,0,0,0,0,0,0,0,0,0,0,0,0
342,0,0.02225121403203595,0.005599043270276147,0.003497137058780894,0.0031528593172428787,3.442777415380155e-4,0,0,0,0,0,0,0,0,0,0
343,0,0.006559396970355874,0.0010509531057476262,0,0,0,3.6239762267159525e-5,0,0,0,0,0,0,0,0,0
344,8.335145321446691e-4,0.007864028411973617,0.0030984996738421394,0,0,3.2615786040443573e-4,0,4.5299702833949407e-4,0,0,0,0,0,0,0,0
345,9.241139378125679e-4,0.003895774443719649,0.0023374646662317894,0,0,0,0,0,0,0,0,0,0,0,0,0
346,0.002736102051170544,0.05200405885337392,0.02911864898166268,0,9.603537000797274e-4,0,0,0,0,0,0,0,0,0,0,0
347,3.6239762267159525e-4,0.0011777922736826846,4.5299702833949407e-4,0,0,0,0,0,1.8119881133579763e-4,1.8119881133579763e-5,0,0,0,0,0,0
348,0.0015945495397550191,0.016181053852286728,0.011850402261361165,0,0,0,0,0,0,0,7.247952453431905e-5,0,0,0,0,0
349,0,0.0106544901065449,0.0024643038341668477,0,0,0,0,0,0,0,0,0,0,0,0,0
350,0.0012502717982170036,0.030223961730811044,0.006015800536348481,0,5.073566717402334e-4,0,0,7.066753642096107e-4,0,0,0,0,0,0,0,0
351,7.6103500761035e-4,0.0046930492135971585,0.0011596723925491048,0,0,0,0,1.2683916793505834e-4,0,0,0,0,0,0,0,0
352,0,0.0502283105022831,0.010418931651808364,0.0037689352757845906,0,0,0,0,0,0,0,0.0017938682322243965,0,0,0,0
353,4.892367906066536e-4,0.005870841487279843,0.002065666449228093,0,0,0,0,1.2683916793505834e-4,0,0,0,0,9.059940566789881e-5,0,0,0
354,0.015420018844676378,0.04577081974342248,0.004856128143799376,0,0,0,0,0,0,0,0,0,0,0,0,0
355,2.7179821700369644e-4,0.00306225991157498,0,0,0,0,0,0,0,0,0,0,0,1.8119881133579763e-5,0,0
356,0,7.6103500761035e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357,0,0.0014858302529535405,5.617163151409726e-4,0,5.435964340073929e-5,0,0,0,0,0,0,0,0,0,0,0
358,0,0.006668116257157353,0,1.8119881133579763e-4,3.6239762267159525e-4,0,0,0,0,0,0,0,0,0,0,0
359,0.003297818366311517,0.0122671595274335,0.0018844676378922953,0,0,0,0,0,0,0,0,0,0,0,0,0
360,0.0016670290642893382,0.011614843806624628,0.0060701601797492205,0,0,1.993186924693774e-4,0,0,0,0,0,0,0,0,0,0
361,0,0.003424657534246575,0.00230122490396463,0,0,0,0,0,0,0,0,0,0,0,0,0
362,0,0.014296586214394433,0.0029535406247735013,0,0,0,0,0,0,0,0,0,0,0,0,0
363,0.028430093498586648,0.04816264405305501,0.05825541784445894,0,0,0,0,0,0,0,0,0,0,0,0,0
364,0.011886642023628324,0.0727875625135899,0.03573240559541929,0.007229832572298325,0,0,0,0,0,0,0,0.0025005435964340073,0.007429151264767703,0,0,0
365,0,0.03261578604044357,0.01141552511415525,0.02201565557729941,0.001141552511415525,0,0,0,0,0,0,0,0,0,0,0
366,0.004149452779589766,0.016452852069290425,0.00998405450460245,0,0,0,0,0,0,0,0,0,0,0,0,0
367,0.011687323331158947,0.007936507936507936,0.0050735667174023336,0,0,0,0,0,0,0,0,0,0,0,0,0
368,7.6103500761035e-4,0.0023374646662317894,4.5299702833949407e-4,0,0,0,0,0,0,0,0,0,0,0,0,0
369,0,0.008606943538450387,0.002065666449228093,0,2.7179821700369644e-4,0,0,0,0,0,0,0,0,0,0,0
370,9.241139378125679e-4,0.0061426397042835396,0.002047546568094513,0,2.3555845473653692e-4,0,0,0,0,0,0,0,0,0,0,0
371,0,0.0064506776835543955,0,0,0,0,0,0,0,0,0,0,0,0,0,0
372,0,0.003279698485177937,5.254765528738131e-4,0,0,0,0,0,0,0,0,0,0,0,0,0
373,5.798361962745524e-4,9.422338189461477e-4,5.435964340073929e-4,0,0,0,0,0,0,0,0,0,0,0,0,0
374,0,0,1.6307893020221786e-4,0,0,0,0,0,0,0,0,0,0,0,0,0
375,1.993186924693774e-4,0.0019207074001594548,2.7179821700369644e-4,0,0,0,0,0,0,0,0,0,0,0,0,0
376,0.0018663477567587156,0.0023374646662317894,9.603537000797274e-4,0,0,0,0,0,0,0,0,0,0,0,0,0
378,2.3555845473653692e-4,0.0030260201493078204,0,0,0,0,0,0,0,0,0,0,0,0,0,0
379,0.004131332898456186,0.03685583822570124,0.0077553091251721384,0,0,0,0,0,0,0,0,0,0,0,5.435964340073929e-4,1.0871928680147858e-4
380,0.002591143002101906,0.021943176052765093,0.003986373849387548,0,0,0,0,0,0,0,0,0,0,0,0,0
381,0.0019388272812930346,0.004294411828658404,0.0024643038341668477,0,0,0,0,1.6307893020221786e-4,0,0,0,0,1.2683916793505834e-4,0,9.059940566789881e-5,0
