ind,Parus_caeruleus,Regulus_ignicapillus,Turdus_philomelos,Parus_major,Sylvia_atricapilla,Fringilla_coelebs,Erithacus_rubecula,Turdus_merula,Turdus_iliacus,Phylloscopus_collybita,Ficedula_hypoleuca,Sitta_europaea,Parus_cristatus,Sylvia_borin,Certhia_brachydactyla,Aegithalos_caudatus,Garrulus_glandarius
17,0.023031768550261445,5.905581679554216e-4,0.001771674503866265,0,0.005905581679554216,0,0.012401721527063854,0.030709024733681926,0,5.905581679554216e-4,0.00354334900773253,0,0.005315023511598795,0,0.001771674503866265,0.005905581679554216,0
8,0.038766153468381845,0.00161525639451591,0,0,0.0024228845917738653,0,0.0040381409862897755,0.032305127890318204,0,0,8.07628197257955e-4,0,0.00161525639451591,0,8.07628197257955e-4,0.00646102557806364,0
10,0.08026133218092775,0.003883612847464246,0.006472688079107076,0.002589075231642831,0.025890752316428303,0.001941806423732123,0.007767225694928492,0.04401427893792812,0.017476257813589104,0.006472688079107076,6.472688079107077e-4,6.472688079107077e-4,0,0,0,0,0.0012945376158214155
13,0.0035155580351228627,0.0011718526783742877,0,0.0011718526783742877,0.0023437053567485753,0,0.0011718526783742877,0.0023437053567485753,0.06562374998896012,0,0,0.0011718526783742877,0,0,0,0,0
12,0.0036590501998217556,0,0,0,0,0,0,0,0,0.007318100399643511,0,0,0,0,0,0,0
25,0.01749204485768449,0,0.0021865056072105614,0,0.03279758410815842,0,0.006559516821631683,0,0,0.0021865056072105614,0,0,0,0,0,0,0
189,0.09263495422548744,0,0,0,0,9.960747766181446e-4,0,0,0,0,0,9.960747766181446e-4,9.960747766181446e-4,0,0,0,0
9,0.002369517089752414,7.898390299174714e-4,0.0015796780598349427,0,0.009478068359009656,0,0,0.0031593561196698854,0,0.007898390299174714,0,0,0,0,0,0,0
35,0.007470560824636084,0,0,0.002490186941545361,0.019921495532362887,0,0.01743130859081753,0.07968598212945155,0,0,0,0,0,0.004980373883090722,0,0,0
465,0.004980373883090722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0.006403337849688071,0,0.008537783799584095,0.002134445949896024,0,0,0,0,0,0,0,0,0
69,0.009960747766181444,0,0,0,0.02241168247390825,0,0.02241168247390825,0.052293925772452586,0,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0.014941121649272167,0,0,0,0,0,0,0,0,0,0
31,0.006895902299664078,0.0017239755749160195,0,0,0,0,0,0.005171926724748059,0,0,0,0,0,0,0,0,0
4,0.003382895467759736,0,0.003382895467759736,0,0.001691447733879868,0,8.45723866939934e-4,0.005920067068579537,0,8.45723866939934e-4,0,0,0,0,0,0,0
2,0.0013898717813276434,0,0,0,0.020848076719914652,0,0,0,0,0.005559487125310574,0,0,0,0,0,0,0
30,0,0,0,0,0.007470560824636084,0,0,0,0,0,0,0,0,0,0,0,0
34,0.007470560824636084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
