ind,Columba_palumbus,Garrulus_glandarius,Turdus_merula,Phoenicurus_ochruros,Erithacus_rubecula,Parus_ater,Fringilla_coelebs,Sylvia_conspicillata,Sylvia_atricapilla,Turdus_viscivorus,Sylvia_communis,Sylvia_melanocephala,Sylvia_borin,Parus_caeruleus,Phoenicurus_phoenicurus,Parus_cristatus,Parus_major,Sylvia_cantillans,Sitta_europaea,Dendrocopos_major
1933,0,0.0011779897782708678,0.001766984667406302,0.00588994889135434,0.001472487222838585,0.00588994889135434,0.014135877339250416,5.889948891354339e-4,0.002061482111974019,0.0053009540022189066,0.002061482111974019,5.889948891354339e-4,8.83492333703151e-4,5.889948891354339e-4,5.889948891354339e-4,0,8.83492333703151e-4,0,0,0
1931,0,5.889948891354339e-4,2.9449744456771696e-4,0.018847836452333885,8.83492333703151e-4,0.00294497444567717,0.015019369672953566,5.889948891354339e-4,5.889948891354339e-4,5.889948891354339e-4,0.0032394718902448868,0,0,5.889948891354339e-4,0.0038284667793803207,8.83492333703151e-4,0.0011779897782708678,2.9449744456771696e-4,0,0
1932,0,5.889948891354339e-4,8.83492333703151e-4,0.00971841567073466,0,0.006184446335922057,0.010012913115302377,0,0,2.9449744456771696e-4,5.889948891354339e-4,2.9449744456771696e-4,0,0,0.001766984667406302,0,8.83492333703151e-4,2.9449744456771696e-4,0,0
1934,0,3.3091939000895405e-4,0,0.0026473551200716324,0,0.0026473551200716324,0.0019855163400537244,0,0,0,0,0,0,0,6.618387800179081e-4,6.618387800179081e-4,0,0,0,0
1936,0,0,5.816781824380993e-4,0.0014541954560952483,5.816781824380993e-4,0,2.9083909121904966e-4,0,0,0,8.72517273657149e-4,0.0011633563648761986,0,0,0,0,0,2.9083909121904966e-4,0,0
1937,0,0,0.006140995893280917,0.006140995893280917,0.0018422987679842754,0.0012281991786561835,0.004605746919960688,0,3.070497946640459e-4,0,0.007676244866601147,9.211493839921377e-4,0,0.0036845975359685508,0.0021493485626483213,0,0,9.211493839921377e-4,0,0
1938,0,0,0.002456398357312367,0.003991647330632596,0.0036845975359685508,0.0012281991786561835,0.0030704979466404585,0,9.211493839921377e-4,3.070497946640459e-4,0.008290344455929239,0.0021493485626483213,0,0.002456398357312367,0.0015352489733202292,0,0.0012281991786561835,0.0012281991786561835,0,0
1939,0,0,0.0027014477126692496,0.0018009651417794997,0.007203860567117999,0.0022512064272243748,0.013957479848791124,0,4.502412854448749e-4,0,0.0027014477126692496,4.502412854448749e-4,0,0.0022512064272243748,0,4.502412854448749e-4,0,4.502412854448749e-4,4.502412854448749e-4,0
1940,0,0,0.0012281991786561835,0.004298697125296643,0.007983294661265192,9.211493839921377e-4,0.01197494199189779,0,0.0018422987679842754,0,9.211493839921377e-4,0.0012281991786561835,0,0.0021493485626483213,3.070497946640459e-4,3.070497946640459e-4,0,0,0,0
1921,3.405461359001236e-4,6.810922718002472e-4,0.0010216384077003707,0.022135498833508037,0,0,0.00953529180520346,0,3.405461359001236e-4,0,0.0010216384077003707,0,0,6.810922718002472e-4,0.014302937707805193,0,0,0,0,0
1823,0,0.011490820536507238,0.006319951295078981,0.015512607724284772,0.008618115402380428,0.033897920582696354,0.08445753094332821,0,0.001149082053650724,0.0965228925066608,0,0,0,0.014363525670634049,0.0017236230804760857,0,0.004021787187777533,0,0.0051708692414282565,0.004021787187777533
1824,0,5.641577552562288e-4,0.00902652408409966,0.017488890412943093,0.005077419797306059,0.003384946531537373,0.020873836944480466,0,5.641577552562288e-4,0.037234411846911106,0,0,0,0.00451326204204983,0.0016924732657686865,0,0,0,0,0
1820,0,0.0047850460701294745,6.835780100184963e-4,0.017773028260480904,6.835780100184963e-4,0.0013671560200369927,0.02665954239072136,0,0,0.006835780100184963,0,0,0,0,6.835780100184963e-4,0,0,0,0,0
1825,0,0.0018273207292201757,4.568301823050439e-4,0.01279124510454123,0.0013704905469151315,0.004568301823050439,0.03974422586053882,0,0,0.00593879236996557,0,0,0,4.568301823050439e-4,9.136603646100878e-4,9.136603646100878e-4,4.568301823050439e-4,0,0.0022841509115252194,0
1929,0,0,0,0.0030649152231011123,0,0,3.405461359001236e-4,0,0,0,0.001702730679500618,0,0,0,6.810922718002472e-4,0,0,0,0,0
8801,0,0.0010785050369197776,7.190033579465183e-4,0.024086612491208362,0.0025165117528128137,0.0037747676292192206,0.00844828945587159,0,0,0.00431402014767911,0.0057520268635721464,0,1.7975083948662958e-4,0.005931777703058775,0.0023367609133261844,1.7975083948662958e-4,7.190033579465183e-4,0.004853272666138999,0,0
8808,0,0.0014243374505328364,8.902109065830227e-4,0.0014243374505328364,0.001246295269216232,0.0058753919834479505,0.0042730123515985095,0,1.7804218131660455e-4,0.006053434164764554,8.902109065830227e-4,0,1.7804218131660455e-4,3.560843626332091e-4,5.341265439498137e-4,1.7804218131660455e-4,0,3.560843626332091e-4,3.560843626332091e-4,0
8814,1.8009651417795e-4,7.203860567118e-4,0.0045024128544487495,0.0057630884536944,0.0140475281058801,9.0048257088975e-4,5.4028954253385e-4,0,0,1.8009651417795e-4,0.0014407721134236,0,1.8009651417795e-4,1.8009651417795e-4,0,0,0,1.8009651417795e-4,1.8009651417795e-4,0
8865,0,0,8.902109065830227e-4,0.008367982521880413,5.341265439498137e-4,0.007299729433980787,0.002492590538432464,0,0,0.001602379631849441,0.002314548357115859,0,3.560843626332091e-4,0.0042730123515985095,0.001246295269216232,0,0,1.7804218131660455e-4,0.001246295269216232,0
