ind,Pipreola_sp,Penelope_purpurascens,Baryphthengus_martii,Sciurus_granatensis,Rodentia_sp,Cephalopterus_penduliger,Ramphastos_sp,Pteroglossus_erythropygius,Aulacorhynchus_haematopygus
18-0001,0,0,0,0,0,0,0.014772592734135746,0.03249970401509864,0.03545422256192579
18-0008,0,0,0.0029545185468271493,0.0029545185468271493,0,0,0.0059090370936542985,0.0029545185468271493,0
18-0010,0,0,0.0024173333564949406,0,0,0,0.004834666712989881,0.004834666712989881,0
18-0013,0,0,0.0024173333564949406,0,0,0,0,0.019338666851959525,0.004834666712989881
18-0020,0,0,0,0,0,0,0.0026590666921444345,0,0
18-0021,0,0,0,0,0,0,0.003323833365180543,0,0.003323833365180543
18-0022,0,0,0.006136307751102542,0,0,0,0.032726974672546885,0.014318051419239263,0
18-0027,0,0,0.05650516720806924,0.003323833365180543,0,0,0,0,0
18-0035,0,0,0.014504000138969643,0,0,0,0,0,0
18-0053,0,0,0.008397052712035056,0,0,0,0.002799017570678352,0,0.033588210848140225
18-0063,0,0,0,0.0029545185468271493,0,0,0.0059090370936542985,0.011818074187308597,0
18-0064,0,0,0.0029545185468271493,0.0029545185468271493,0,0,0.0029545185468271493,0.0029545185468271493,0
18-0065,0,0,0.011818074187308597,0.0029545185468271493,0.0029545185468271493,0,0.011818074187308597,0.020681629827790045,0.017727111280962896
18-0066,0,0,0.0029545185468271493,0,0.017727111280962896,0,0.017727111280962896,0.011818074187308597,0.008863555640481448
18-0067,0,0,0.0029545185468271493,0.0029545185468271493,0,0,0,0.011818074187308597,0.0029545185468271493
18-0069,0,0,0,0,0,0,0.0029545185468271493,0.008863555640481448,0
18-0070,0,0,0.010636266768577738,0.0035454222561925796,0,0.0017727111280962898,0.008863555640481448,0.005318133384288869,0
18-0071,0.006647666730361086,0,0.026590666921444343,0,0,0.006647666730361086,0.006647666730361086,0.03323833365180543,0.01994300019108326
18-0072,0,0,0,0,0,0.0024173333564949406,0.0024173333564949406,0.012086666782474702,0
18-0073,0,0,0.0015641568777320202,0,0,0,0,0.009384941266392121,0.0015641568777320202
18-0074,0,0,0.005749333388420399,0,0,0,0.011498666776840798,0.008624000082630598,0
18-0089,0,0,0.01484130246778289,0,0.0024735504112971484,0,0.017314852879080037,0.018551628084728614,0
18-0103,0,0,0.01382714679915106,0.0010636266768577738,0,0,0.005318133384288869,0,0.0010636266768577738
18-0104,0,0,0.026590666921444343,0,0,0,0.006647666730361086,0.013295333460722172,0.03323833365180543
18-0105,0,0,0.0015194666812253913,0.0015194666812253913,0,0,0.0015194666812253913,0,0
18-0106,0,0,0.0024173333564949406,0,0,0,0.0024173333564949406,0,0
18-0113,0,0,0,0,0,0,0.0024173333564949406,0,0
18-0131,0,0,0.004834666712989881,0,0,0.0024173333564949406,0,0,0
18-0136,0,0,0.014504000138969643,0,0.026590666921444343,0,0,0.004834666712989881,0
18-0247,0,0.0010636266768577738,0.012763520122293285,0,0,0.0010636266768577738,0.012763520122293285,0.045735947104884274,0
18-0248,0,0,0.0017727111280962898,0,0,0,0.008863555640481448,0.0017727111280962898,0
