ind,Pycnonotus_cafer,Pycnonotus_luteolus,Dicaeum_erythrorhynchos,Pycnonotus_jocosus,Spilopelia_senegalensis,Leptocoma_zeylonica,Turdoides_affinis,Aegithina_tiphia
PLEP01,0.023153137224282142,0.06945941167284642,0,0,0,0,0,0
PLEP03,0.013891882334569283,0.013891882334569283,0,0,0,0,0,0
PLEP04,0.046306274448564284,0.009261254889712857,0,0,0,0,0,0
PLEP05,0.023153137224282142,0,0,0,0,0,0,0
PLEP06,0,0,0.007717712408094046,0,0,0,0,0
PLEP07,0,0.023153137224282142,0.027783764669138566,0.05556752933827713,0.004630627444856429,0.004630627444856429,0,0
PLEP08,0.0402663256074472,0.0352330349065163,0.20133162803723603,0.0150998721027927,0,0.0201331628037236,0.0150998721027927,0
PLEP09,0.018522509779425714,0.023153137224282142,0.013891882334569283,0,0,0.004630627444856429,0,0.004630627444856429
PLEP10,0.13802831806783583,0.022262631946425134,0.02671515833571016,0,0,0,0,0
PLEP12,0.05209455875463482,0.04051799014249375,0.0057882843060705355,0,0,0,0,0
