ind,Pycnonotus_cafer,Pycnonotus_luteolus,Spilopelia_chinensis,Saxicoloides_fulicatus,Orthotomus_sutorius,Megalaima_haemacephala,Pycnonotus_jocosus,Merops_orientalis,Prinia_socialis,Eudynamys_scolopaceus,Dicaeum_erythrorhynchos,Cinnyris_asiaticus,Lonchura_punctulata
ZIZO01,0.0050671395996959735,0.012667848999239933,0.0025335697998479867,0,0,0,0,0,0,0,0,0,0
ZIZO02,0.013681276919179128,0.02052191537876869,0,0.004560425639726376,0.002280212819863188,0.004560425639726376,0.006840638459589564,0.002280212819863188,0,0,0,0,0
ZIZO03,0.012667848999239933,0.020268558398783894,0,0.012667848999239933,0.0025335697998479867,0,0.0050671395996959735,0,0.0050671395996959735,0.0025335697998479867,0,0,0
ZIZO04,0.009120851279452752,0.04332404357740057,0,0.002280212819863188,0.002280212819863188,0,0.006840638459589564,0,0,0.01140106409931594,0.004560425639726376,0.002280212819863188,0
ZIZO05,0.004560425639726376,0.029642766658221444,0,0.006840638459589564,0.002280212819863188,0,0.015961489739042316,0,0,0.002280212819863188,0.006840638459589564,0.002280212819863188,0
ZIZO06,0.006840638459589564,0.03420319229794782,0,0.004560425639726376,0.002280212819863188,0.002280212819863188,0.009120851279452752,0,0,0.002280212819863188,0.002280212819863188,0.002280212819863188,0
ZIZO07,0.047677177142593924,0.026947969689292216,0,0,0,0,0.010364603726650852,0,0,0.008291682981320683,0,0.020729207453301705,0
ZIZO08,0.006840638459589564,0.027362553838358256,0,0.002280212819863188,0,0,0.009120851279452752,0,0,0.002280212819863188,0.004560425639726376,0.002280212819863188,0
ZIZO09,0.015961489739042316,0.027362553838358256,0,0,0,0,0.009120851279452752,0,0,0.002280212819863188,0.009120851279452752,0,0
ZIZO10,0.01140106409931594,0.04104383075753738,0,0.002280212819863188,0,0,0.013681276919179128,0,0,0.002280212819863188,0.002280212819863188,0.009120851279452752,0
ZIZO11,0.013681276919179128,0.050164682036990135,0,0,0,0,0.009120851279452752,0,0,0.006840638459589564,0.004560425639726376,0.004560425639726376,0
ZIZO12,0.01140106409931594,0.013681276919179128,0,0,0,0,0.006840638459589564,0,0,0.004560425639726376,0.002280212819863188,0,0
ZIZO13,0.01140106409931594,0.027362553838358256,0,0,0,0.002280212819863188,0.002280212819863188,0,0,0.002280212819863188,0.002280212819863188,0.004560425639726376,0
ZIZO14,0.013681276919179128,0.027362553838358256,0,0.004560425639726376,0,0.006840638459589564,0.01140106409931594,0,0,0.004560425639726376,0.002280212819863188,0.006840638459589564,0.004560425639726376
ZIZO15,0.01140106409931594,0.029642766658221444,0.002280212819863188,0,0.002280212819863188,0.004560425639726376,0.004560425639726376,0,0,0.004560425639726376,0.004560425639726376,0.004560425639726376,0
