ind,Elaenia_cristata,Elaenia_chiriquensis,Elaenia_obscura,Camptostoma_obsoletum,Schistochlamys_ruficapillus,Saltatricula_atricollis,Tangara_cayana,Mimus_saturninus,Zonotrichia_capensis
Mi1,0.0175,0,0,0,0.025,0,0,0,0
Mi3,0.01,0,0,0.0075,0.005,0,0,0.0025,0
Mi4,0.0275,0.0125,0,0.005,0.0025,0,0,0.005,0
Mi5,0.0825,0,0,0,0.025,0,0,0,0.0125
Mi6,0.025,0.015,0,0.0075,0.015,0.0075,0.01,0.0025,0.02
Mi7,0.005,0.0075,0,0.01,0,0,0,0,0.0075
Mi8,0.015,0,0,0,0,0.0125,0.0075,0.005,0.0025
Mi10,0.0225,0,0,0.0125,0.01,0.0175,0,0.0325,0.01
Mi12,0.01,0,0,0.0075,0.0075,0,0,0,0
Mi14,0.0825,0.005,0.0025,0,0.03,0,0,0,0.005
Mi17,0.02,0.0075,0,0.0025,0.0225,0,0.0125,0.0125,0
Mi18,0.02,0.0075,0,0,0,0,0,0,0.02
Mi20,0.0375,0,0,0,0.135,0,0,0,0
Mi21,0,0,0,0,0,0,0,0.0125,0.0025
Mi23,0.0175,0,0,0,0,0,0,0,0
