ind,Cervus_elaphus,Vulpes_vulpes,Meles_meles,Genetta_genetta,Oryctolagus_cuniculus,Dama_dama,Turdus_philomelos,Sus_scrofa,Lepus_granatensis,Turdus_merula,Lanius_senator
Jmac001,0.07169267738958392,0.009559023651944522,0,0,0.009559023651944522,0.009559023651944522,0,0.057354141911667135,0,0,0
Jmac002,0.01125474809685297,0.005627374048426485,0,0,0,0,0.005627374048426485,0.005627374048426485,0,0.028136870242132427,0
Jmac003,0.011901662513484105,0.02975415628371026,0.02975415628371026,0.005950831256742052,0.005950831256742052,0,0.005950831256742052,0.02380332502696821,0.005950831256742052,0.005950831256742052,0
Jmac006,0.10837809175190377,0.004926276897813808,0,0,0,0.009852553795627616,0,0,0,0,0
Jmac007,0.018949811949434552,0.007579924779773821,0.0037899623898869105,0,0.018949811949434552,0,0,0.0037899623898869105,0,0.007579924779773821,0
Jmac008,0.0314210154224848,0,0,0,0,0,0,0,0,0,0
Jmac009,0.016777985884354942,0,0,0,0,0.012583489413266206,0,0.0041944964710887355,0,0.0041944964710887355,0
Jmac011,0.1791409940528189,0.0049761387236894146,0,0,0,0.05473752596058356,0,0,0,0.009952277447378829,0.0049761387236894146
Jmac004,0.08199384376288003,0,0,0,0,0,0,0.0048231672801694134,0,0.0048231672801694134,0
Jmac005,0.14600945512618646,0.006083727296924436,0,0,0,0,0,0.06083727296924436,0,0,0.006083727296924436
Jmac010,0.007924497152133125,0,0,0,0,0,0,0,0,0,0
Jmac013,0,0.15192277259061168,0,0,0,0,0.00949517328691323,0.05697103972147938,0,0.03798069314765292,0
Jmac014,0.02039486729173064,0,0,0,0,0,0,0,0,0,0
Jmac016,0.011333585190782454,0,0,0,0,0,0,0,0,0,0
Jmac017,0.015607725824283493,0,0,0,0,0,0,0.015607725824283493,0,0,0
Jmac018,0.050492211401072955,0,0,0,0,0,0,0,0,0,0
Jmac019,0.06521148446698806,0,0,0,0,0,0,0,0,0,0
Jmac023,0.07236059697492955,0,0,0,0,0,0,0.012060099495821593,0,0,0
Jmac024,0.16849112041396927,0,0,0,0,0,0,0.03744247120310428,0,0,0
Jmac025,0.05654376251620363,0,0,0,0,0,0,0,0,0,0
Jmac026,0.032027282499909264,0,0,0,0,0,0.010675760833303087,0.010675760833303087,0,0,0
Jmac027,0.06133009646712452,0,0,0,0.010221682744520753,0,0.010221682744520753,0,0,0.010221682744520753,0
Jmac012,0.01524801855175613,0,0,0,0,0,0,0,0,0,0
Jmac028,0.020406283434774224,0,0,0,0,0,0,0,0,0,0
Jmac029,0,0,0,0,0,0,0,0.027712025864561573,0,0,0
Jmac015,0.014613354982748294,0,0,0,0,0,0,0,0,0,0
