ind,Curruca_communis,Curruca_hortensis,Curruca_iberiae,Curruca_melanocephala,Erithacus_rubecula,Mus_spretus,Sturnus_unicolor,Sylvia_atricapilla,Sylvia_borin,Turdus_merula,Apodemus_sylvaticus,Ficedula_hypoleuca,Fringilla_coelebs,Muscicapa_striata,Phoenicurus_phoenicurus,Chloris_chloris
pang001,0.0018304821769721483,0.009152410884860742,0.009152410884860742,0.0036609643539442967,0.045762054424303714,0.009152410884860742,0.005491446530916445,0.05125350095522015,0.012813375238805038,0.03660964353944297,0,0,0,0,0,0
pang002,0.004584759097462951,0,0.004584759097462951,0.004584759097462951,0.006877138646194427,0.004584759097462951,0,0.009169518194925902,0,0.018339036389851803,0,0,0,0,0,0
pang003,0,0.010664548335402951,0.010664548335402951,0.015996822503104427,0.02666137083850738,0,0.023995233754656644,0.02932750792235812,0.002666137083850738,0.023995233754656644,0,0,0,0,0,0
pang004,0.0018304821769721483,0,0.0018304821769721483,0.0036609643539442967,0.005491446530916445,0,0.005491446530916445,0.08054121578677453,0.005491446530916445,0.031118197008526523,0,0,0,0,0,0
pang005,0.0022923795487314754,0.004584759097462951,0,0.0022923795487314754,0.036678072779703606,0.03897045232843508,0.004584759097462951,0.05272472962082394,0.01604665684112033,0.009169518194925902,0.006877138646194427,0.0022923795487314754,0.0022923795487314754,0.009169518194925902,0.0022923795487314754,0
pang006,0.0022923795487314754,0.006877138646194427,0,0.0022923795487314754,0.0022923795487314754,0,0,0.0848180433030646,0.006877138646194427,0.018339036389851803,0,0,0,0,0,0
pang007,0,0,0,0.007998411251552213,0.002666137083850738,0,0.04532433042546254,0,0,0,0,0,0,0,0.01333068541925369,0
pang008,0,0.004584759097462951,0,0.013754277292388853,0.02063141593858328,0,0,0.004584759097462951,0,0,0,0,0,0,0.013754277292388853,0.0022923795487314754
pang009,0.007998411251552213,0.002666137083850738,0,0,0,0,0.005332274167701476,0.007998411251552213,0.002666137083850738,0.007998411251552213,0.002666137083850738,0,0,0,0,0
pang010,0.002666137083850738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
