ind,Capito_auratus,Dacnis_cayana,Dixiphia_pipra,Dixiphia_rubrocapilla,Euphonia_laniirostris,Euphonia_rufiventris,Lepidothrix_coronata,Lipaugus_vociferans,Pachyramphus_rufus,Patagioenas_plumbea,Pteroglossus_beauharnaesii,Tachyphonus_luctuosus,Tachyphonus_surinamus,Tangara_chilensis,Tangara_schrankii,Tangara_velia,Tityra_inquisitor,Trogon_collaris,Trogon_melanurus,Trogon_mesurus,Turdus_albicollis,Patagioenas_subvinacea,Euphonia_chlorotica,Euphonia_minuta,Tangara_gyrola,Tyranneutes_stolzmanni,Celeus_elegans,Cotinga_maynana,Ramphastos_tucanus,Rhytipterna_simplex,Trogon_violaceus,Ramphastos_vitellinus,Machaeroptus_regulus,Tityra_semifasciata,Chlorophanes_spiza,Pteroglossus_azara,Tityra_cayana,Trogon_viridis,Selenidera_reinwardtii,Tachyphonus_rufiventer,Leontocebus_nigrifrons,Saguinus_mystax,Saltator_coerulescens
ML03,6.474004437596603e-4,6.474004437596603e-4,0.04240472906625775,0.004208102884437792,0.0016185011093991508,3.2370022187983016e-4,0.0038844026625579615,6.474004437596603e-4,3.2370022187983016e-4,0.006474004437596603,3.2370022187983016e-4,6.474004437596603e-4,0.0035607024406781314,0.0019422013312789808,0.004208102884437792,3.2370022187983016e-4,3.2370022187983016e-4,3.2370022187983016e-4,3.2370022187983016e-4,3.2370022187983016e-4,6.474004437596603e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML05,0,0,0.041721361931178105,0.0045632739612226055,0,0,0.0032594814008732897,0,0,0.001955688840523974,0,6.518962801746579e-4,0,0,0,0,0,0,0,0,0,0.0013037925603493158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML20,0,0,0.011734133043143843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML26,0,0,0,0,0,0,0,0,0,0,0,0,0.003911377681047948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML27,0,0,0.014667666303929804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML31,0,0,0.011734133043143843,0.003911377681047948,0,0,0,0,0,0,0,0,0.0026075851206986316,0,0.0026075851206986316,0,0,0,0,0,0,0,0.0013037925603493158,0.0013037925603493158,0.0026075851206986316,0.0013037925603493158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML34,0,0,0.0030281633659726046,0,0,0.0015140816829863023,0.007570408414931512,0.0015140816829863023,0,0.0030281633659726046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML35,0.011734133043143843,0,0.042242878955317836,0.0023468266086287687,0,0,0,0,0,0,0.004693653217257537,0.0023468266086287687,0,0,0,0,0,0,0.0023468266086287687,0,0,0,0,0,0,0,0.0023468266086287687,0.0023468266086287687,0.0023468266086287687,0.0023468266086287687,0.0023468266086287687,0,0,0,0,0,0,0,0,0,0,0,0
ML37,0,0,0.023468266086287687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML40,0,0,0.007822755362095896,0.001955688840523974,0,0.001955688840523974,0,0,0,0,0,0,6.518962801746579e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.518962801746579e-4,0,0,0,0,0,0,0,0,0,0,0
