ind,Erithacus_rubecula,Sylvia_atricapilla,Turdus_philomelos,Turdus_merula,Psammodromus_algirus,Apodemus_sylvaticus,Columba_palumbus,Sylvia_melanocephala,Sylvia_undata,Sturnus_vulgaris,Phoenicurus_phoenicurus,Cyanopica_cooki,Sylvia_communis,Sylvia_cantillans
olan001,0.007185268695978961,0.0035926343479894805,0.0035926343479894805,0,0,0,0,0,0,0,0,0,0,0
olan002,0.014370537391957922,0.007185268695978961,0,0.0035926343479894805,0,0,0,0,0,0,0,0,0,0
olan003,0,0.003788049605411502,0.003788049605411502,0,0,0,0,0,0,0,0,0,0,0
olan004,0.0035926343479894805,0.007185268695978961,0,0,0,0,0,0,0,0,0,0,0,0
olan005,0.025148440435926362,0.025148440435926362,0,0,0.0035926343479894805,0,0,0,0,0,0,0,0,0
olan006,0.0035926343479894805,0,0,0,0,0,0,0,0,0,0,0,0,0
olan007,0.007185268695978961,0.010777903043968442,0,0,0,0.007185268695978961,0,0,0,0,0,0,0,0
olan009,0,0.0035926343479894805,0,0,0,0,0,0,0,0,0,0,0,0
olan010,0.0035926343479894805,0,0,0,0,0,0,0,0,0,0,0,0,0
olan011,0.007576099210823004,0.07954904171364155,0,0,0,0.003788049605411502,0.003788049605411502,0.015152198421646008,0.003788049605411502,0,0,0,0,0
olan012,0.015152198421646008,0.07197294250281855,0.011364148816234508,0.007576099210823004,0,0,0,0.003788049605411502,0.003788049605411502,0,0,0,0,0
olan013,0,0.07954904171364155,0.007576099210823004,0,0,0.007576099210823004,0,0,0.003788049605411502,0.003788049605411502,0,0,0,0
olan014,0.007576099210823004,0.04924464487034953,0,0,0,0,0,0.007576099210823004,0,0,0.003788049605411502,0,0,0
olan015,0.007576099210823004,0.003788049605411502,0,0,0,0,0,0.003788049605411502,0.003788049605411502,0,0,0,0,0
olan016,0,0.037880496054115025,0,0,0,0,0,0,0,0,0,0,0,0
olan017,0.003788049605411502,0.04166854565952653,0,0,0,0,0,0,0,0,0,0,0,0
olan018,0.018940248027057512,0.12121758737316807,0,0,0,0,0,0.003788049605411502,0.007576099210823004,0,0.003788049605411502,0.003788049605411502,0.003788049605411502,0
olan019,0,0.10985343855693357,0.003788049605411502,0,0,0,0,0,0,0,0.003788049605411502,0,0,0
olan020,0.007576099210823004,0.04545659526493803,0.007576099210823004,0,0,0,0,0,0.007576099210823004,0,0,0,0,0.003788049605411502
