ind,Pycnonotus_cafer,Sturnia_pagodarum,Zosterops_palpebrosus,Acridotheres_fuscus,Eudynamys_scolopaceus,Psilopogon_haemacephalus,Pycnonotus_jocosus,Sylvia_curruca,Pycnonotus_luteolus,Acridotheres_tristis,Psilopogon_viridis,Psittacula_cyanocephala
NC01,42,17,2,0,0,0,0,0,0,0,0,0
NC02,15,6,0,3,0,0,0,0,0,0,0,0
NC03,219,8,18,0,5,1,1,2,0,0,0,0
NC04,93,0,7,0,0,0,0,0,0,0,0,0
NC05,179,8,4,2,0,0,1,0,10,0,0,0
NC06,62,0,0,0,4,0,5,0,3,0,0,0
NC07,119,5,0,0,0,0,1,0,0,1,1,0
NC09,25,0,0,0,0,0,0,0,0,0,0,0
NC10,77,0,0,0,0,0,0,0,1,0,0,0
NC11,97,9,2,1,0,0,0,1,3,5,0,4
NC12,30,1,0,0,0,0,0,0,0,0,0,0
NC13,40,0,1,0,0,0,0,0,0,0,0,0
NC14,0,0,0,0,0,0,0,0,2,0,0,0
NC15,29,0,0,0,0,0,0,0,0,0,0,0
NC16,228,0,0,0,0,0,2,0,0,0,0,0
NC17,2,0,0,0,0,0,0,0,0,0,0,0
NC18,6,0,0,0,0,0,0,0,0,0,0,0
NC19,63,3,0,0,0,0,1,0,0,0,0,0
NC20,15,0,2,0,0,0,3,0,0,0,0,0
NC21,6,0,0,0,0,0,2,0,2,0,0,0
NC22,1,0,0,0,0,0,0,0,0,0,0,0
NC23,1,0,0,0,0,0,0,0,0,0,0,0
