ind,Pycnonotus_cafer,Sturnia_pagodarum,Zosterops_palpebrosus,Acridotheres_fuscus,Eudynamys_scolopaceus,Psilopogon_haemacephalus,Pycnonotus_jocosus,Sylvia_curruca,Pycnonotus_luteolus,Acridotheres_tristis,Psilopogon_viridis,Psittacula_cyanocephala
NC01,0.027477919528949953,0.011122015047432125,0.0013084723585214263,0,0,0,0,0,0,0,0,0
NC02,0.009813542688910697,0.003925417075564279,0,0.0019627085377821396,0,0,0,0,0,0,0,0
NC03,0.14327772325809618,0.005233889434085705,0.011776251226692838,0,0.003271180896303566,6.542361792607131e-4,6.542361792607131e-4,0.0013084723585214263,0,0,0,0
NC04,0.06084396467124633,0,0.004579653254824992,0,0,0,0,0,0,0,0,0
NC05,0.11710827608766766,0.005233889434085705,0.0026169447170428526,0.0013084723585214263,0,0,6.542361792607131e-4,0,0.006542361792607132,0,0,0
NC06,0.04056264311416422,0,0,0,0.0026169447170428526,0,0.003271180896303566,0,0.0019627085377821396,0,0,0
NC07,0.07785410533202486,0.003271180896303566,0,0,0,0,6.542361792607131e-4,0,0,6.542361792607131e-4,6.542361792607131e-4,0
NC09,0.01635590448151783,0,0,0,0,0,0,0,0,0,0,0
NC10,0.06297023225384366,0,0,0,0,0,0,0,8.177952240758915e-4,0,0,0
NC11,0.06346090938828919,0.005888125613346419,0.0013084723585214263,6.542361792607131e-4,0,0,0,6.542361792607131e-4,0.0019627085377821396,0.003271180896303566,0,0.0026169447170428526
NC12,0.019627085377821395,6.542361792607131e-4,0,0,0,0,0,0,0,0,0,0
NC13,0.026169447170428527,0,6.542361792607131e-4,0,0,0,0,0,0,0,0,0
NC14,0,0,0,0,0,0,0,0,0.0013084723585214263,0,0,0
NC15,0.018972849198560682,0,0,0,0,0,0,0,0,0,0,0
NC16,0.1491658488714426,0,0,0,0,0,0.0013084723585214263,0,0,0,0,0
NC17,0.0013084723585214263,0,0,0,0,0,0,0,0,0,0,0
NC18,0.003925417075564279,0,0,0,0,0,0,0,0,0,0,0
NC19,0.04121687929342493,0.0019627085377821396,0,0,0,0,6.542361792607131e-4,0,0,0,0,0
NC20,0.009813542688910697,0,0.0013084723585214263,0,0,0,0.0019627085377821396,0,0,0,0,0
NC21,0.003925417075564279,0,0,0,0,0,0.0013084723585214263,0,0.0013084723585214263,0,0,0
NC22,6.542361792607131e-4,0,0,0,0,0,0,0,0,0,0,0
NC23,6.542361792607131e-4,0,0,0,0,0,0,0,0,0,0,0
