ind,Pycnonotus_cafer,Psilopogon_haemacephalus,Psittacula_cyanocephala,Pycnonotus_jocosus,Pycnonotus_luteolus,Sturnia_pagodarum,Funambulus_palmarum,Eudynamys_scolopaceus,Zosterops_palpebrosus,Acridotheres_tristis,Carpodacus_erythrinus,Sylvia_curruca,Acridotheres_fuscus
ZO01,3,0,0,0,0,0,0,0,0,0,0,0,0
ZO02,71,1,1,8,11,5,0,0,0,0,0,0,0
ZO03,1,0,0,2,0,1,1,0,0,0,0,0,0
ZO05,7,1,0,0,0,1,0,1,8,0,0,0,0
ZO06,7,0,0,0,0,0,0,0,0,0,0,0,0
ZO07,35,0,0,0,0,4,0,0,2,1,1,2,0
ZO09,4,0,0,0,4,0,0,0,0,0,0,0,0
ZO10,16,0,0,0,0,0,0,0,0,0,1,8,0
ZO11,2,0,0,0,0,0,0,0,1,0,0,1,0
ZO12,6,0,0,0,0,0,0,0,0,0,0,0,0
ZO13,3,0,0,0,0,0,0,0,0,0,0,0,0
ZO14,0,0,0,0,0,0,0,0,2,0,8,0,0
ZO15,0,0,0,0,0,0,0,0,0,0,0,1,0
ZO16,3,0,0,0,0,0,0,0,0,0,0,0,0
ZO17,1,0,0,0,0,0,0,0,0,0,0,0,0
ZO18,4,0,0,0,0,0,0,0,0,0,0,1,0
ZO19,5,0,0,0,0,2,0,0,1,0,0,3,0
ZO20,4,0,2,0,0,8,0,0,0,0,0,5,4
ZO21,4,1,0,0,0,0,0,0,0,0,0,3,0
ZO22,13,0,0,9,3,0,0,0,7,0,0,7,0
