sp,Coccothraustes.coccothraustes,Columba.palumbus,Corvus.corax,Corvus.corone,Dendrocopos.major,Emberiza.cia,Erithacus.rubecula,Ficedula.hypoleuca,Fringilla.coelebs,Garrulus.glandarius,Loxia.curvirostra,Parus.ater,Parus.caeruleus,Parus.cristatus,Parus.major,Phoenicurus.ochruros,Phoenicurus.phoenicurus,Pica.pica,Sitta.europaea,Sylvia.atricapilla,Sylvia.borin,Sylvia.cantillans,Turdus.iliacus,Turdus.merula,Turdus.philomelos,Turdus.pilaris,Turdus.torquatus,Turdus.viscivorus
Prunus.mahaleb,3.4234851078397807e-4,3.4234851078397807e-4,6.846970215679561e-4,0.005477576172543649,3.4234851078397807e-4,0,0.022595001711742554,3.4234851078397807e-4,0.03252310852447792,0.00718931872646354,0,0.012324546388223211,3.4234851078397807e-4,3.4234851078397807e-4,0.002396439575487847,0.011639849366655255,0.0017117425539198905,0,3.4234851078397807e-4,0.0027387880862718246,3.4234851078397807e-4,3.4234851078397807e-4,0,0.04519000342348511,0,0,0,0.10201985621362547
Crataegus.monogyna,0.009585758301951387,0.0013693940431359123,3.4234851078397807e-4,0.0013693940431359123,0,3.4234851078397807e-4,3.4234851078397807e-4,0,3.4234851078397807e-4,0.0017117425539198905,0.002396439575487847,0.004108182129407737,0.0017117425539198905,0.0013693940431359123,0.0013693940431359123,0,0,3.4234851078397807e-4,0.004108182129407737,6.846970215679561e-4,0,0,0.02293735022252653,0.017459774049982883,0.0020540910647038686,0.02533378979801438,0.08832591578226635,0.023622047244094488
Berberis.vulgaris,0,0,0,3.4234851078397807e-4,0,0,0.0030811365970558027,0,0.0030811365970558027,0,0,0,0.002396439575487847,0,3.4234851078397807e-4,3.4234851078397807e-4,3.4234851078397807e-4,3.4234851078397807e-4,0,0.014036288942143102,0,0,0.00890106128038343,0.004792879150975694,0,0.004108182129407737,0.026018486819582336,6.846970215679561e-4
Juniperus.phoenicea,6.846970215679561e-4,0.0017117425539198905,0,0.0013693940431359123,0,0,0,0,0,0.0013693940431359123,0,0,0,0,0,0,0,0,0,0,0,0,6.846970215679561e-4,0.0030811365970558027,0,0.0010270455323519343,0.0609380349195481,0.027387880862718247
Lonicera.arborea,0,0,0,0,0,0,0,0,0.00718931872646354,0,0,0.005477576172543649,0,0,0.004108182129407737,0.01266689489900719,0,0,0,0.015405682985279013,0,0,0.004108182129407737,0.007874015748031496,0,0,0.021225607668606643,0.015063334474495036
Rosa.canina,0.00718931872646354,0,0,0,0,0,0,0,0,0,6.846970215679561e-4,0,0,0,0,0,0,0,0,0,0,0,0.0013693940431359123,0.003423485107839781,6.846970215679561e-4,0.0030811365970558027,0.0061622731941116055,0.00718931872646354
Taxus.baccata,0.007531667237247518,0.0010270455323519343,0,0,0,0,0.004108182129407737,0,0,0,0,0,0,0,0,0.00718931872646354,0,0,0,0,0,0,0.04142416980486135,0.010955152345087298,0,0,0.029441971927422116,0.05717220130092434
Hedera.helix,0,0,0,0,0,0,0,0,3.4234851078397807e-4,0,0,0,0,0,0,0.0017117425539198905,0,0,0,0.00718931872646354,0,0,0.0017117425539198905,6.846970215679561e-4,0,0,0.004108182129407737,0.0013693940431359123
Juniperus.communis,0,3.4234851078397807e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4234851078397807e-4,0.0020540910647038686,0,0,0.005135227661759671,3.4234851078397807e-4
Juniperus.sabina,0,0,0,3.4234851078397807e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013693940431359123,6.846970215679561e-4,0,0,0.016775077028414926,0.0010270455323519343
Pistacia.terebinthus,0,0,0,0,0,0,0.0017117425539198905,0,0,0,0,0,3.4234851078397807e-4,0,6.846970215679561e-4,0,0,0,0,0.00718931872646354,0,0,6.846970215679561e-4,0.003423485107839781,0,0,0,0
Sorbus.aria,0,0,0,0,0,3.4234851078397807e-4,0,0,0,0,0,0.0027387880862718246,0,0,0,0,0,0,3.4234851078397807e-4,0,0,0,0,0,0,0,0.003765833618623759,0.0010270455323519343
Daphne.laureola,0,0,0,0,0,0,0.0013693940431359123,0,0.006504621704895584,0,0,0,0,0,0.0010270455323519343,0,0,0,0,0.003765833618623759,0,0,0,0,0,0,0,0
Rhamnus.saxatilis,0,0,0,0,0,0,0.0020540910647038686,0,0,0,0,0,0,0,0,3.4234851078397807e-4,0,0,0,0,0,0,6.846970215679561e-4,0,0,0,0,0
Lonicera.splendida,0,0,0,0,0,0,0,0,0.0013693940431359123,0,0,0.002396439575487847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juniperus.oxycedrus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0027387880862718246
Paeonia.officinalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4234851078397807e-4,0,0,0,0
