sp,Manucodia_chalybatus,Manucodia_keraudrenii,Ptiloris_magnificus,Epimachus_albertisii,Lophorina_superba,Parotia_lawesii,Diphyllodes_magnificus,Paradisaea_raggiana,Paradisaea_rudolphi
Aglaia,0,0,0,0,0,8.410428931875525e-4,0,0.002523128679562658,0
Aporusa,0,0,0,0,8.410428931875525e-4,0,0,0,0
Canthium,0,0,0,0,0,0,8.410428931875525e-4,0,0
Chisocheton,8.410428931875525e-4,0.005887300252312868,0.01345668629100084,0.004205214465937763,0.01934398654331371,0.008410428931875526,0.010933557611438183,0.010933557611438183,0.002523128679562658
Cissus_hypoglauca,0,0.010933557611438183,8.410428931875525e-4,8.410428931875525e-4,8.410428931875525e-4,0.001682085786375105,0.00336417157275021,0.004205214465937763,0.002523128679562658
C._aristata,8.410428931875525e-4,0,0,0,0,0,8.410428931875525e-4,0,0
Dysoxylum,0,8.410428931875525e-4,0,0,0,8.410428931875525e-4,0.010092514718250631,0.014297729184188394,0
Elmerrillia,8.410428931875525e-4,0.00672834314550042,0,8.410428931875525e-4,0.001682085786375105,0.001682085786375105,0.010092514718250631,0.001682085786375105,0
Endospermum,0,0.001682085786375105,0,0,0.007569386038687973,0.001682085786375105,0.012615643397813289,0.001682085786375105,0
Ficus_drupacea,0,0.001682085786375105,0,0,0,0,0,0,0
Ficus_gul,0.021026072329688814,0.13036164844407064,0,0,8.410428931875525e-4,0.010092514718250631,0.00672834314550042,0.03784693019343986,8.410428931875525e-4
Ficus_odoardi,0.0159798149705635,0.04625735912531539,0.001682085786375105,0,8.410428931875525e-4,0.005046257359125316,0.00672834314550042,0.01682085786375105,0
Ficus_202,8.410428931875525e-4,0.001682085786375105,0,0,0,0,8.410428931875525e-4,0,0
Ficus_181,0,0.005887300252312868,0,0,0,0.001682085786375105,0,0,8.410428931875525e-4
Ficus_217,0,0.007569386038687973,0,0,0,0,0,0,0
Ficus_246,8.410428931875525e-4,0.00336417157275021,0,0,0,0,0.001682085786375105,0,0
Ficus_275,0.00672834314550042,0.0336417157275021,0,0,0.001682085786375105,8.410428931875525e-4,0.004205214465937763,0.010933557611438183,0.00336417157275021
Ficus_371,8.410428931875525e-4,0.005046257359125316,0,8.410428931875525e-4,0.00336417157275021,0.00336417157275021,0,0.002523128679562658,0.005887300252312868
Gastonia,0,0.014297729184188394,0.005887300252312868,0,0,0.018502943650126155,0.04878048780487805,0.020185029436501262,0.002523128679562658
Glochidion,0,0,0,0,0,0,8.410428931875525e-4,0,0
Homalanthus,0,0.00336417157275021,0.00672834314550042,0,0.014297729184188394,0.008410428931875526,0.08746846089150546,0.06307821698906645,0.01934398654331371
Myristica,0,0.002523128679562658,0,0,0,0.002523128679562658,8.410428931875525e-4,8.410428931875525e-4,0
Pandanus,0,0,0,0,0.001682085786375105,0,0.004205214465937763,0.001682085786375105,8.410428931875525e-4
Piper,0,8.410428931875525e-4,0,0,0,0,0,0,0
Schefflera,0,0,8.410428931875525e-4,0,0,0.03952901597981497,0.001682085786375105,0,0.008410428931875526
Sloanea_aberrans,0,0,0,0,0,0,0.001682085786375105,0,0
Sloanea_sogerensis,0,0.001682085786375105,0,0,0.001682085786375105,0.001682085786375105,0.00336417157275021,8.410428931875525e-4,0
Sterculia,0,0,0,0,0,8.410428931875525e-4,0,0,0
Syzygium,0,0.00672834314550042,0,0,0,8.410428931875525e-4,0,8.410428931875525e-4,0
Uvaria,0,0.001682085786375105,0,0,0,0,0,0,0
Zingiberaceae,8.410428931875525e-4,0,0,0,0,0,0.001682085786375105,0,8.410428931875525e-4
