sp,Tauraco_porphyrocephalus,Bycanistes_buccinator,Buccanodon_leucotis,Pogoniulus_bilineatus,Pycnonotus_barbatus,Cholorocichla_flaviventris,Andropadus_importunus,Lumprocolius_corruscus,Zosterops_pallidus,Other_species
Halleria_lucida,0,0,0.0036578503095104106,0.012380416432189083,0.006471581316826111,0.007315700619020821,0,0.004501969611705121,0.0036578503095104106,0.03517163759144626
Ficus_natalensis,0.005064715813168261,0.0014068655036578502,0.004220596510973551,0.032639279684862126,0.007034327518289252,0.007034327518289252,0,0.0022509848058525606,0.007878446820483961,0.0036578503095104106
Ficus_vogelii,0.0030951041080472708,0.04867754642656162,0.07287563308947664,0.024198086662915026,0.04248733821046708,0.07597073719752391,0.0030951041080472708,0.0061902082160945416,0.018289251547552055,0.009003939223410242
Trema_orientalis,0,0,0,0.025886325267304444,0.0036578503095104106,0.0025323579065841305,0.0011254924029262803,0.0011254924029262803,0.014912774338773213,0.012380416432189083
Antidesma_venosum,5.627462014631402e-4,0,8.441193021947102e-4,0.010129431626336522,0.0030951041080472708,0.0011254924029262803,2.813731007315701e-4,0,0.005064715813168261,0.0030951041080472708
Bridelia_micrantha,0.0033764772087788407,0,0.0033764772087788407,0.0016882386043894203,0.032076533483398985,0.03460889138998312,0.0033764772087788407,8.441193021947102e-4,0.0016882386043894203,0.0033764772087788407
Vepris_undulata,0,0,0,0.017445132245357344,0,0.013224535734383792,0.007315700619020821,0,0.0036578503095104106,0.0030951041080472708
Apodytes_dimidiata,0,0,0,0.008441193021947102,8.441193021947102e-4,0.04614518851997749,0.0014068655036578502,0.005627462014631401,0.0028137310073157004,0.005627462014631401
Sideroxylon_inerme,0.0011254924029262803,0,0.0011254924029262803,0.010692177827799663,0,0.031513787281935844,0.007034327518289252,5.627462014631402e-4,0,0.0016882386043894203
Euclea_natalensis,8.441193021947102e-4,0,0.0022509848058525606,0.0075970737197523916,0.0022509848058525606,0.014350028137310074,5.627462014631402e-4,0,0,0.0011254924029262803
Mimusops_caffra,0.0014068655036578502,0,0,8.441193021947102e-4,8.441193021947102e-4,0.0030951041080472708,0,8.441193021947102e-4,0,0
Strelitzia_nicholai,0,0,0.0014068655036578502,0.0028137310073157004,0.007315700619020821,0,0,0,0,0
Trichilia_emetica,5.627462014631402e-4,5.627462014631402e-4,0,0.011536297129994372,0.0028137310073157004,0.023353967360720315,8.441193021947102e-4,0.008159819921215531,0,0
Dovyalis_longispina,0.0022509848058525606,0,5.627462014631402e-4,0.0075970737197523916,0.016038266741699492,0.016038266741699492,0.0075970737197523916,0.0033764772087788407,0.0016882386043894203,0
Ekebergia_capensis,0.0036578503095104106,0.0028137310073157004,0.0039392234102419805,0.0014068655036578502,2.813731007315701e-4,0.0019696117051209903,2.813731007315701e-4,0.0033764772087788407,0.0016882386043894203,0
Erianthemum_dregei,0,0,0,0.03967360720315138,0,0,0,0,0,0.0025323579065841305
