sp,Penelope_superciliaris,Ramphastos_toco,Tityra_cayana,Chiroxiphia_caudata,Manacus_manacus,Sirystes_sibilator,Tyrannus_savanna,Tyrannus_melancholicus,Myiodynastes_maculatus,Pitangus_sulphuratus,Myiophobus_fasciatus,Elaenia_flavogaster,Cyanocorax_cristatellus,Turdus_rufiventris,Turdus_amaurochalinus,Cyclarhis_gujanensis,Vireo_olivaceus,Coereba_flaveola,Dacnis_cayana,Conirostrum_speciosum,Pipraeidea_melanonota,Tangara_cayana,Thraupis_sayaca,Ramphocelus_carbo,Habia_rubica,Tachyphonus_coronatus,Trichothraupis_melanops,Thlypopsis_sordida,Saltator_similis
Chamissoa_altissima,0,0,0,0.005037783375314861,0.005037783375314861,0,0,0,0,0,0,0.005037783375314861,0,0,0,0,0,0,0.0025188916876574307,0.0025188916876574307,0,0.005037783375314861,0.0025188916876574307,0,0.0025188916876574307,0.012594458438287154,0.027707808564231738,0,0.005037783375314861
Xylopia_brasiliensis,0,0,0,0,0,0,0,0.0025188916876574307,0,0.0025188916876574307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dendropanax_cuneatum,0,0,0,0.005037783375314861,0.012594458438287154,0,0,0,0,0,0.010075566750629723,0,0,0.0025188916876574307,0,0,0.010075566750629723,0,0,0,0,0,0,0,0,0,0,0,0.020151133501259445
Cordia_sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025188916876574307,0,0,0
Protium_heptaphyllum,0,0,0,0.007556675062972292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pereskia_aculeata,0,0,0,0.0025188916876574307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025188916876574307,0,0,0.0025188916876574307
Rhipsalis_sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025188916876574307,0,0,0
copaifera_langsdorffii,0,0.0025188916876574307,0,0,0,0,0,0,0,0,0,0,0.0025188916876574307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cecropia_pachystachia,0,0,0,0.0025188916876574307,0.005037783375314861,0,0,0,0,0.0025188916876574307,0,0.0025188916876574307,0,0.0025188916876574307,0,0,0,0.005037783375314861,0.007556675062972292,0,0,0,0.012594458438287154,0.005037783375314861,0,0.04030226700251889,0.005037783375314861,0,0
Maytenus_aquifolium,0,0,0,0,0.005037783375314861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Momordica_charantia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025188916876574307,0.0025188916876574307,0.0025188916876574307,0,0,0.0025188916876574307
Pera_glabrata,0,0,0,0.0025188916876574307,0.005037783375314861,0.0025188916876574307,0,0,0,0,0.0025188916876574307,0,0,0,0,0,0.007556675062972292,0,0.007556675062972292,0,0,0,0.0025188916876574307,0,0,0.017632241813602016,0.0025188916876574307,0,0.005037783375314861
Ocotea_corimbosa,0.005037783375314861,0,0,0,0,0,0,0.0025188916876574307,0,0.005037783375314861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025188916876574307,0,0
Ocotea_cf._macropoda,0,0,0,0.010075566750629723,0.005037783375314861,0,0,0,0,0.0025188916876574307,0,0,0,0,0.0025188916876574307,0,0,0,0,0,0,0,0,0,0,0,0.0025188916876574307,0,0
Ocotea_sp.,0,0.0025188916876574307,0.0025188916876574307,0.0025188916876574307,0,0,0,0,0.0025188916876574307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Persia_cf._major,0,0,0,0,0,0,0,0.005037783375314861,0,0.0025188916876574307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Talauma_ovata,0,0,0,0,0.0025188916876574307,0,0,0.0025188916876574307,0,0.007556675062972292,0,0.015113350125944584,0,0,0.0025188916876574307,0,0,0,0.005037783375314861,0,0,0,0,0.005037783375314861,0,0,0,0,0
Miconia_elegans,0,0,0,0.005037783375314861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025188916876574307,0,0,0,0,0,0
Miconia_discolor,0,0,0,0.012594458438287154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miconia_sp.,0,0,0,0,0.005037783375314861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabralea_canjerana,0,0,0,0.0025188916876574307,0,0,0,0.005037783375314861,0.010075566750629723,0.015113350125944584,0,0,0,0,0,0,0.020151133501259445,0,0.007556675062972292,0,0,0,0,0,0,0,0,0,0
Trichilia_clauseni,0,0,0,0.0025188916876574307,0,0,0,0,0,0,0,0,0,0,0,0.007556675062972292,0.017632241813602016,0,0,0,0,0,0,0,0.0025188916876574307,0.007556675062972292,0.005037783375314861,0.007556675062972292,0.005037783375314861
Chlorophora_tinctoria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025188916876574307,0,0,0,0,0,0
Ficus_luschnatiana,0,0,0,0.0025188916876574307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gomidesia_affinis,0,0,0,0.015113350125944584,0.0025188916876574307,0,0,0,0,0,0,0.015113350125944584,0,0,0,0,0,0,0.0025188916876574307,0,0,0,0,0,0,0.0025188916876574307,0,0,0
Piper_sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025188916876574307,0,0
Rubus_sp.,0,0,0,0.0025188916876574307,0.0025188916876574307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025188916876574307,0,0,0
Palicourea_sp.,0,0,0,0.0025188916876574307,0.0025188916876574307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zanthoxylum_hyemale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025188916876574307,0.022670025188916875,0,0.012594458438287154,0,0,0.0025188916876574307,0,0,0,0,0,0.0025188916876574307,0
Paullinia_rhomboidea,0,0,0,0,0.0025188916876574307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paullinia_sp.,0,0,0,0,0,0,0,0.0025188916876574307,0.0025188916876574307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cestrum_sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025188916876574307,0,0,0,0,0,0,0,0.0025188916876574307,0,0,0.005037783375314861
Trema_micrantha,0,0,0,0.012594458438287154,0.012594458438287154,0,0.005037783375314861,0.0025188916876574307,0.0025188916876574307,0,0,0.005037783375314861,0,0,0,0,0.017632241813602016,0,0.015113350125944584,0,0,0.005037783375314861,0.007556675062972292,0.0025188916876574307,0.0025188916876574307,0.02518891687657431,0.030226700251889168,0.005037783375314861,0.030226700251889168
Urera_baccifera,0,0,0,0,0.010075566750629723,0,0,0,0,0,0,0,0,0,0,0,0,0.0025188916876574307,0,0,0.0025188916876574307,0,0,0.005037783375314861,0.015113350125944584,0.030226700251889168,0.017632241813602016,0,0
Citharexylum_mirianthum,0,0,0,0.015113350125944584,0.0025188916876574307,0,0,0,0.010075566750629723,0,0,0,0,0.020151133501259445,0,0,0,0,0,0,0,0,0,0.0025188916876574307,0,0,0,0,0.0025188916876574307
