sp,Ptilinopus_magnificus,Ptilinopus_superbus,Ptilinopus_regina,Macropygia_amboinensis,Columba_leucomela,Ducula_spilorrhoa,Lopholaimus_antarcticus
Freycinetia_excelsa,0,0,0,0.0021172381102859857,0,0,0
Archontophoenix_alexandrae,0.0015958287249170488,0.0028598514773265924,0.005909306367514617,0,0,0,0
Calamus_sp.,0,0.0021488386790962243,0,0,0,0,0
Pothos_loureirii,0.0014694264496760946,0.006446516037288672,0,2.6860483488702803e-4,0,0,0
Flagellaria_sp.,6.162110917996526e-4,0.0021488386790962243,0,0,0,0,0
Piper_sp.,2.5280455048190873e-4,9.63817348712277e-4,0,0,0,0,0
Ficus_destruens,0.004676884183915311,0.0038236688260388694,0.001706430715752884,0,0,0.004455680202243641,0
Ficus_leptoclada,7.426133670406068e-4,0.0012008216147890666,0,0,0,0,0
Ficus_virens,6.162110917996526e-4,7.110127982303683e-4,0,0,0,0.008895560120082163,0
Helicia_nortoniana,0,0,0,0.0015958287249170488,0,0,0
Dendrophthoe_falcata,0,0,0.0033812608626955292,0,0,0,0
Notothixos_subarueus,3.634065413177438e-4,9.63817348712277e-4,0,0.008026544477800603,0,0,0
Hypaerpa_decumbens,4.898088165586982e-4,0,0,0,0,0,0
Hypaerpa_laurina,2.5280455048190873e-4,0.0012008216147890666,0,0,0,0,0
Cananga_odorata,0.01009638173487123,0,0,0,0,0,0
Rauwenhoffia_leichardtii,0,0.0011850213303839473,0,0,0,0,0
Myristica_muelleri,0.002575446358034445,9.480170643071577e-4,0,0,0,0.013351240322325804,0
Tretasynandra_laxiflora,0.004060673092115659,0.0028598514773265924,0,0,0,0,0
Cinnamomun_laubatii,7.584136514457261e-4,0,0,0,0.04313477642597568,0,0
Cryptocarya_hypospodia,0.0038236688260388694,7.110127982303683e-4,0,0,0,0.057860641491546856,0
Cryptocarya_mackinnoniana,0.0076157370832675006,0.009559172065097174,0,0,0,0,0.05293095275714964
Cryptocarya_cinnamomifolia_aff.,0.0042976773581924485,0.001927634697424554,0,0,0.025912466424395642,0,0
Endiandra_hypotephra,0.004060673092115659,0.015152472744509404,0.021109179965239377,0,0,0,0
Endiandra_muelleri,0.0045504819086743566,0.005466898404171276,0.005909306367514617,0,0,0,0
Litsea_bindoniana,3.634065413177438e-4,7.110127982303683e-4,0,2.6860483488702803e-4,0,0,0
Litsea_leefeana,0.010206983725707065,0.03131616369094645,0.06504977089587614,0,0.060199083583504516,0,0
Litsea_glutinosa,0,0,0,0,0,0.008895560120082163,0
Neolitsea_dealbata,0.010206983725707065,0.004534681624269238,8.374150734713227e-4,8.05814504661084e-4,0.028756517617317116,0,0
Euodia_xanthoxyloides,0,0,0,0.018754937588876603,0,0,0
Canarium_australianum,3.634065413177438e-4,6.95212513825249e-4,0,0,0,0.03561384104913889,0
Melia_asederach,0.0023384420919576555,0,0,0,0,0,0
Dysoxylum_micranthum,0.003839469110443989,0.0012008216147890666,0,2.6860483488702803e-4,0,0,0
Dysoxylum_oppositifolium,4.898088165586982e-4,4.7400853215357884e-4,0,0,0,0,0
Dysoxylum_sp._aff._D._klanderi,0.0013588244588402594,0,0,0,0,0,0
Homalanthus_populifolius,0,0,0,0.005609100963817349,0,0,0
