sp,Tangara_guttata,Tangara_gyrola,Tangara_mexicana,Thraupis_episcopus,Thraupis_palmarum,Ramphocelus_carbo,Tachyphonus_rufus,Tachyphonus_luctuosus,Euphonia_violacea,Cyanerpes_caeruleus,Cyanerpes_cyaneus,Chlorophanes_spiza,Dacnis_cayana,Coereba_flaveola
Laetia_procera,0,0,0.0037313432835820895,4.664179104477612e-4,0.0013992537313432835,0.0023320895522388058,4.664179104477612e-4,0,0,0,0,0,0.0032649253731343282,0
Clusia_spp.,0,0,0,0,0,0,0,0,0,0.0065298507462686565,4.664179104477612e-4,0.0013992537313432835,9.328358208955224e-4,0
Sloanea_stipilata,4.664179104477612e-4,0.0032649253731343282,0,4.664179104477612e-4,4.664179104477612e-4,9.328358208955224e-4,0.0018656716417910447,4.664179104477612e-4,0,0,0.0018656716417910447,0,9.328358208955224e-4,9.328358208955224e-4
Byrsonima_spicata,0,0.0046641791044776115,0,0,0,0,0,0,0,0,0,0,4.664179104477612e-4,0
Protium_heptaphyllum,0,0.002798507462686567,0.006063432835820896,0.004197761194029851,0.005597014925373134,9.328358208955224e-4,0.004197761194029851,4.664179104477612e-4,0.0023320895522388058,0,0,0.0018656716417910447,0.0018656716417910447,0
Cupania_sp.,0,0,0,0,0,0,0,0,0,0,0.0037313432835820895,0,0,4.664179104477612e-4
Ilex_sp.,0,0.0013992537313432835,0.009328358208955223,0,0,4.664179104477612e-4,0,0,0,0,0,0,0,0
Calycolpus_glaber,0,0,4.664179104477612e-4,9.328358208955224e-4,9.328358208955224e-4,9.328358208955224e-4,0,0,0,0,0,0,4.664179104477612e-4,4.664179104477612e-4
Eugenia_baileyi,0,0,0.0013992537313432835,4.664179104477612e-4,0.0013992537313432835,0,0,0,0,0,0,0,0,0
Myrcia_leptoclada,0,0.005130597014925373,0,0,0,0,0,0,4.664179104477612e-4,0,0,0,0,0
Myrcia_sp.,4.664179104477612e-4,0,0.0013992537313432835,0,0,0,0,0,0,9.328358208955224e-4,0,0,0,0
Psidium_guajava,0,0,0.0013992537313432835,0,0,0.0018656716417910447,0,0,0,0,0,0,0,0
Clidemia_spp.,0,9.328358208955224e-4,0,0,0,0.012593283582089552,0.004197761194029851,0,0.0013992537313432835,0,0,0,0,0
