sp,Pycnonotus.barbatus,Cercopithecus.mitis,Sylvia.atricapilla,Cercopithecus.ascanius,Cinnyricinclus.leucogaster,Phylloscopus.trochilus,Turdus.pelios,Andropadus.latirostris,Zosterops.senegalensis,Ceratogymna.subcylindrica,Buccanodon.duchaillui,Colobus.guereza,Pogoniulus.bilineatus,Chlorocichla.laetissima,Gymnobucco.bonapartei,Andropadus.masukuensis,Ploceus.bicolor,Phyllastrephus.hypochloris,Andropadus.curvirostris,Heliosciurus.rufobrachium,Melaniparus.funereus,Phylloscopus.budongoensis,Phyllastrephus.cabanisi,Trachyphonus.purpuratus,Andropadus.gracilirostris,Serinus.citrinelloides,Apalis.rufogularis,Baeopogon.indicator,Hippolais.pallida,Andropadus.virens,Serinus.mozambicus,Colius.striatus,Musophaga.rossae,Nigrita.canicapillus,Papio.anubis,Turtur.tympanistria,Tricholaema.hirsuta,Bleda.syndactylus,Oriolus.brachyrhynchus,Phylloscopus.sibilatrix,Treron.calvus,Turdus.olivaceus,Cuculus.clamosus,Ploceus.nigerrimus,Sylvia.borin,Alethe.poliocephala,Eremomela.turneri,Andropadus.ansorgei,Estrilda.nonnula,Nigrita.fusconotus,Elminia.longicauda,Platysteira.castanea,Platysteira.cyanea,Ploceus.insignis,Ploceus.melanocephalus,Ploceus.ocularis,Turdoides.sharpei,Anthoscopus.caroli,Bathmocercus.rufus,Centropus.monachus,Chalcomitra.senegalensis,Columba.larvata,Cossypha.polioptera,Laniarius.luehderi,Lybius.bidentatus,Melaniparus.albiventris,Phoenicurus.phoenicurus,Ploceus.baglafecht,Ploceus.nigricollis,Schistolais.leucopogon,Serinus.dorsostriatus,Spermophaga.ruficapilla,Terpsiphone.viridis,Tockus.alboterminatus,Campephaga.flava,Chalcomitra.amethystina,Chlorocichla.flavicollis,Cossypha.heuglini,Cossypha.niveicapilla,Cyanomitra.olivacea,Cyanomitra.verticalis,Dicrurus.adsimilis,Hylia.prasina,Malimbus.rubricollis,Oriolus.auratus,Prinia.bairdii,Prodotiscus.insignis,Sylvia.communis
Unidentified sp1 M_SD_034,0.03713373948360894,0.005512039454598201,0.01856686974180447,0.003191180736872643,2.901073397156948e-4,0.008703220191470844,0.027270089933275312,0.006092254134029591,0.020017406440382943,0.006962576153176675,0.007542790832608065,0,0.0026109660574412533,0.004351610095735422,0.0011604293588627793,0.008123005512039455,8.703220191470844e-4,0.002901073397156948,0.0017406440382941688,0,8.703220191470844e-4,8.703220191470844e-4,0,0.0017406440382941688,8.703220191470844e-4,0.0040615027560197275,8.703220191470844e-4,2.901073397156948e-4,2.901073397156948e-4,0.0020307513780098638,0,0,5.802146794313896e-4,0,0,2.901073397156948e-4,5.802146794313896e-4,2.901073397156948e-4,2.901073397156948e-4,0,5.802146794313896e-4,2.901073397156948e-4,0,0,2.901073397156948e-4,0,0,8.703220191470844e-4,0,0,0,0,0,5.802146794313896e-4,0,0,0,0,0,0,0,5.802146794313896e-4,0,0,0,0,5.802146794313896e-4,2.901073397156948e-4,0,0,5.802146794313896e-4,0,0,0,0,0,0,0,0,0,0,0,2.901073397156948e-4,0,2.901073397156948e-4,2.901073397156948e-4,2.901073397156948e-4,0
Unidentified sp2 M_SD_034,0.03191180736872643,0.010153756890049319,0.006672468813460981,0.005512039454598201,0,0.011314186248912098,0.003191180736872643,0.009573542210617928,2.901073397156948e-4,0.017696547722657382,0.017116333043225993,0.001450536698578474,8.703220191470844e-4,0.0034812880765883376,0.005512039454598201,2.901073397156948e-4,2.901073397156948e-4,0.0011604293588627793,0.001450536698578474,8.703220191470844e-4,0.0026109660574412533,2.901073397156948e-4,0,0.001450536698578474,0.0017406440382941688,0,5.802146794313896e-4,0.0011604293588627793,0.001450536698578474,0,0,0,0,0,0.0026109660574412533,0,8.703220191470844e-4,0,0,0,0,0.0017406440382941688,0,0,0,0,0,0,0,0,0,0,0,0,8.703220191470844e-4,0,0,2.901073397156948e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prunus africana,0.020307513780098638,5.802146794313896e-4,8.703220191470844e-4,0,0.05512039454598201,0.023788801856686973,0.004351610095735422,0,0,0,0,2.901073397156948e-4,2.901073397156948e-4,2.901073397156948e-4,0,0,0,0,8.703220191470844e-4,0,0,0.0011604293588627793,0,0,8.703220191470844e-4,0,0.0020307513780098638,2.901073397156948e-4,2.901073397156948e-4,5.802146794313896e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011604293588627793,0,8.703220191470844e-4,2.901073397156948e-4,0,0.0011604293588627793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bridelia micrantha,0.015665796344647518,0.005802146794313896,0.010733971569480708,0.006962576153176675,8.703220191470844e-4,0,0.00725268349289237,0.006092254134029591,0.006382361473745286,0.005221932114882507,0.0037713954163040323,0.004351610095735422,0.005221932114882507,0.006382361473745286,0.0026109660574412533,5.802146794313896e-4,5.802146794313896e-4,0.0023208587177255585,2.901073397156948e-4,8.703220191470844e-4,0,0,8.703220191470844e-4,8.703220191470844e-4,8.703220191470844e-4,0,0,0.0020307513780098638,2.901073397156948e-4,0,5.802146794313896e-4,0,5.802146794313896e-4,0,0,8.703220191470844e-4,2.901073397156948e-4,0,5.802146794313896e-4,0,0.001450536698578474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.703220191470844e-4,0,0,0,0,0,0,0,5.802146794313896e-4,0,0,0,0,0,0,0,2.901073397156948e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ficus sur,0.008703220191470844,0.008123005512039455,0.0023208587177255585,0.01508558166521613,0,8.703220191470844e-4,2.901073397156948e-4,0.0026109660574412533,0.0017406440382941688,5.802146794313896e-4,0.002901073397156948,0.01450536698578474,0.0017406440382941688,5.802146794313896e-4,2.901073397156948e-4,2.901073397156948e-4,0.001450536698578474,0,0.0020307513780098638,5.802146794313896e-4,0,5.802146794313896e-4,0.0023208587177255585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.703220191470844e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.802146794313896e-4,0,0,0,0,5.802146794313896e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manilkara butugi,0.007832898172323759,0.010443864229765013,0.0026109660574412533,0.00841311285175515,0,0.0011604293588627793,0,0.0017406440382941688,8.703220191470844e-4,0.0034812880765883376,0,0.0034812880765883376,0,0.0011604293588627793,2.901073397156948e-4,5.802146794313896e-4,2.901073397156948e-4,0,0,0.0017406440382941688,2.901073397156948e-4,2.901073397156948e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.901073397156948e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antiaris toxicaria,0.01798665506237308,0.004641717435451117,0.0023208587177255585,0.0026109660574412533,0,0.0034812880765883376,0,2.901073397156948e-4,5.802146794313896e-4,5.802146794313896e-4,0,0.003191180736872643,0,0,0,8.703220191470844e-4,0.0011604293588627793,0,5.802146794313896e-4,2.901073397156948e-4,0.003191180736872643,0.001450536698578474,0,0,2.901073397156948e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blighia unijugata,0.0011604293588627793,2.901073397156948e-4,0.0020307513780098638,0.0023208587177255585,0,0,0,0.004351610095735422,0.001450536698578474,0.0034812880765883376,0.0037713954163040323,0.004351610095735422,0.001450536698578474,0.0017406440382941688,0.003191180736872643,5.802146794313896e-4,0.003191180736872643,0,0,0.0011604293588627793,0,0,0,0.001450536698578474,0,0,0,0,0,0,0,0,0.0011604293588627793,0,0,0,0,0,2.901073397156948e-4,0,0,0,0,0.0017406440382941688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morus mesozygia,0.001450536698578474,0.007832898172323759,5.802146794313896e-4,0.013344937626921962,0,0,0,0.0020307513780098638,0,5.802146794313896e-4,0,0.0026109660574412533,0,5.802146794313896e-4,0,0,0,0,5.802146794313896e-4,0.0020307513780098638,0,0.0017406440382941688,0,0,0,0,0,0,0,0,0,0,0,0,0,5.802146794313896e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.802146794313896e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.901073397156948e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trilepisium madagascariense,0,0.01943719176095155,0,0.006382361473745286,0,0,0,0,0,0.0011604293588627793,0,0.001450536698578474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.901073397156948e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
