sp,Carpornis.melanocephala,Procnias.nudicollis,Pyroderus.scutatus,Penelope.obscura,Penelope.superciliaris,Pipile.jacutinga,Ramphastos.dicolorus,Ramphastos.vitellinus,Selenidera.maculirostris,Turdus.flavipes,Turdus.albicollis,Turdus.amaurochalinus,Turdus.rufiventris,Myiodynastes.maculatus,Pitangus.sulphuratus,Tyrannus.melancholicus
Xylopia langsdorfiana,0,0,0,0,0,0,0,0,0,0,0.005,0.0016666666666666668,0,0,0,0
Annona neosericea,0,0,0,0,0,0,0,0.0016666666666666668,0.008333333333333333,0,0,0,0,0,0,0
Ilex pseudobuxus,0,0,0,0,0,0,0,0,0,0.0016666666666666668,0.0016666666666666668,0.0033333333333333335,0,0,0,0
Ilex theizans,0,0.0033333333333333335,0,0,0.005,0,0,0,0,0.01,0.021666666666666667,0.011666666666666667,0.006666666666666667,0,0,0
Schefflera angustissima,0,0,0,0,0,0,0,0,0.008333333333333333,0,0.0016666666666666668,0,0,0,0,0
Euterpe edulis,0,0.02,0.005,0.0033333333333333335,0,0.011666666666666667,0.0033333333333333335,0.08166666666666667,0.03833333333333333,0.05,0.065,0,0,0,0,0
Cinnamodendron dinisii,0,0.0016666666666666668,0,0,0,0.0016666666666666668,0,0.0016666666666666668,0,0,0,0,0,0,0,0
Cecropia glaziovii,0,0,0,0,0,0,0.0033333333333333335,0.005,0,0,0,0,0,0,0,0
Maytenus gonoclada,0,0,0,0,0.0016666666666666668,0,0,0,0,0,0.0016666666666666668,0,0,0,0,0
Clusia criuva,0,0,0,0,0,0,0,0,0,0,0.0016666666666666668,0.008333333333333333,0.011666666666666667,0.03333333333333333,0.011666666666666667,0.011666666666666667
Alchornea triplinervia,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0
Hieronyma alchorneoides,0,0,0,0,0,0,0,0,0,0.0016666666666666668,0.005,0,0,0,0,0
Casearia sylvestris,0,0,0,0,0,0,0,0,0,0,0.0033333333333333335,0,0,0,0,0
Aiouea saligna,0,0,0,0,0,0,0,0,0,0,0.0016666666666666668,0,0,0,0,0
Cryptocarya moschata,0,0,0,0,0,0,0.0016666666666666668,0.0033333333333333335,0.0016666666666666668,0,0,0,0,0,0,0
Nectandra membranacea,0,0.0016666666666666668,0.0033333333333333335,0,0,0,0.0016666666666666668,0.011666666666666667,0,0.0016666666666666668,0.016666666666666666,0,0,0,0,0
Ocotea pulchella,0,0,0,0,0,0,0,0.0016666666666666668,0,0.02666666666666667,0.04,0.025,0.016666666666666666,0.006666666666666667,0.006666666666666667,0.03166666666666667
Miconia cubatanensis,0,0,0,0,0,0,0,0,0,0.0016666666666666668,0.005,0,0,0,0,0
Cabralea canjerana,0.0016666666666666668,0.0016666666666666668,0.0033333333333333335,0,0,0,0,0,0,0,0.0033333333333333335,0,0,0,0,0
Guarea macrophylla,0,0,0,0,0,0,0,0,0,0,0.0033333333333333335,0,0,0,0,0
Mollinedia schottiana ,0,0,0,0,0,0,0,0,0,0,0.016666666666666666,0,0,0,0,0
Mollinedia uleana,0,0,0,0,0,0,0,0,0.0016666666666666668,0,0,0,0,0,0,0
Inga ynga,0,0,0,0,0,0,0,0.0016666666666666668,0,0,0,0,0,0,0,0
Virola bicuhyba,0,0.008333333333333333,0,0,0,0,0.0033333333333333335,0.07833333333333334,0.011666666666666667,0.01,0.005,0,0,0,0,0
Myrsine sp,0,0,0,0,0,0,0,0,0.005,0,0.0016666666666666668,0,0,0,0,0
Myrsine umbellata,0,0,0.0016666666666666668,0,0,0,0,0,0,0,0.0033333333333333335,0,0,0,0,0
Calyptranthes concinna,0,0,0,0,0,0,0,0,0,0,0.0033333333333333335,0,0,0,0,0
Campomanesia guaviroba,0,0,0,0,0,0,0.0016666666666666668,0.0033333333333333335,0.0033333333333333335,0,0,0,0,0,0,0
Eugenia sp,0,0,0,0,0,0,0,0,0.006666666666666667,0,0.0016666666666666668,0,0,0,0,0
Eugenia sp1,0,0,0,0,0,0,0,0,0.0016666666666666668,0,0.0016666666666666668,0,0,0,0,0
Eugenia cuprea,0,0,0,0,0,0,0,0,0.0016666666666666668,0,0,0,0,0,0,0
Eugenia astringens,0,0.0016666666666666668,0,0,0,0,0,0,0,0.0033333333333333335,0.0016666666666666668,0,0,0,0,0
Myrcia ilheosensis,0,0.0016666666666666668,0,0,0.0033333333333333335,0,0,0,0,0,0.008333333333333333,0,0,0,0,0
Myrcia spectabilis,0,0,0,0,0,0,0,0,0.0016666666666666668,0,0.005,0,0,0,0,0
Marlierea tomentosa,0,0,0,0,0,0,0,0.0033333333333333335,0,0,0,0,0,0,0,0
