sp,Turdus.leucomelas,Myiozetetes.similis,Myiodynastes.maculatus,Elaenia.sp,Pitangus.sulphuratus,Thraupis.sayaca,Dacnis.cayana,Antilophia.galeata,Icterus.cayanensis,Myiarchus.ferox,Nemosia.pileata,Ramphocelus.carbo,Tangara.cayana,Turdus.amaurochalinus,Coereba.flaveola,Euphonia.chlorotica,Tachyphonus.coronatus,Thlypopsis.sordida,Thraupis.palmarum,Tyrannus.savana,Volatinia.jacarina,Megarynchus.pitangua,Patagioenas.picazuro,Mimus.saturninus,Empidonomus.varius,Colaptes.melanochloros,Tachyphonus.rufus,Zonotrichia.capensis,Myiothlypis.flaveola
Cordia ecalyculata,0.002012072434607646,0.002012072434607646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casearia sylvestris,0,0,0.006036217303822937,0.004024144869215292,0.002012072434607646,0.004024144869215292,0.002012072434607646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Callicarpa reevesii,0.006036217303822937,0.004024144869215292,0,0.012072434607645875,0.002012072434607646,0.006036217303822937,0,0.012072434607645875,0.002012072434607646,0.004024144869215292,0.004024144869215292,0.004024144869215292,0.012072434607645875,0.002012072434607646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cecropia pachystachya,0.03420523138832998,0.006036217303822937,0,0,0.012072434607645875,0.11066398390342053,0.02012072434607646,0.004024144869215292,0.008048289738430584,0,0.002012072434607646,0.026156941649899398,0.012072434607645875,0.002012072434607646,0.008048289738430584,0.01609657947686117,0.006036217303822937,0.002012072434607646,0.030181086519114688,0.008048289738430584,0.002012072434607646,0,0,0,0,0,0,0,0.002012072434607646
Clausena excavata,0.03219315895372234,0,0,0.004024144869215292,0.006036217303822937,0.02414486921529175,0,0.012072434607645875,0,0,0,0.008048289738430584,0.004024144869215292,0.004024144869215292,0,0,0,0,0,0,0,0.002012072434607646,0,0,0,0,0,0,0
Cordia africana,0.008048289738430584,0,0,0,0,0.002012072434607646,0,0,0,0,0,0,0,0,0,0.002012072434607646,0,0,0,0,0,0,0.02012072434607646,0,0,0,0,0,0
Citharexylum myrianthum,0.006036217303822937,0.002012072434607646,0,0.006036217303822937,0.006036217303822937,0.03621730382293763,0,0.01006036217303823,0.002012072434607646,0,0,0.002012072434607646,0.002012072434607646,0,0.002012072434607646,0,0,0,0,0.014084507042253521,0,0.008048289738430584,0,0,0,0,0,0,0
Eugenia brasiliensis,0.002012072434607646,0,0,0,0,0.002012072434607646,0,0,0.002012072434607646,0,0,0.002012072434607646,0,0.002012072434607646,0,0,0,0.002012072434607646,0,0,0,0,0,0,0,0,0,0,0
Eugenia uniflora,0.002012072434607646,0,0,0,0,0,0,0,0,0,0,0.004024144869215292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guarea sp,0.002012072434607646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syzygium cumini,0.002012072434607646,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002012072434607646,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melia azedarach,0.004024144869215292,0.002012072434607646,0,0,0.002012072434607646,0.03219315895372234,0,0,0,0.004024144869215292,0,0,0,0,0,0.002012072434607646,0,0,0,0,0,0,0,0.008048289738430584,0,0,0,0,0
Miconia rubiginosa,0.004024144869215292,0.004024144869215292,0,0,0,0.008048289738430584,0.01006036217303823,0.006036217303822937,0,0,0,0.006036217303822937,0.002012072434607646,0,0,0,0.004024144869215292,0.002012072434607646,0,0.002012072434607646,0.002012072434607646,0,0,0,0.004024144869215292,0,0,0,0
Myrsine coriacea,0.03420523138832998,0.008048289738430584,0.006036217303822937,0,0.008048289738430584,0,0,0,0,0,0,0.006036217303822937,0.002012072434607646,0.002012072434607646,0,0,0,0,0.002012072434607646,0.012072434607645875,0,0,0,0,0,0.006036217303822937,0,0,0
Nectandra megapotamica,0.002012072434607646,0,0,0,0.002012072434607646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Piper sp,0,0,0,0,0,0.004024144869215292,0,0,0,0,0,0.002012072434607646,0,0,0,0.004024144869215292,0,0,0,0,0,0,0,0,0,0,0,0,0
Psidium guajava,0,0,0,0,0,0,0,0,0,0,0,0.002012072434607646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rubus rosifolius,0.026156941649899398,0,0,0,0,0.004024144869215292,0,0.004024144869215292,0,0,0,0.002012072434607646,0.008048289738430584,0,0,0,0.002012072434607646,0,0,0,0,0,0,0,0,0,0.012072434607645875,0,0
Schinus terebinthifolius,0,0,0,0,0.004024144869215292,0,0,0.004024144869215292,0,0,0,0,0,0,0,0,0,0,0.004024144869215292,0,0,0,0,0,0,0,0,0,0
Solanum hazenii,0.004024144869215292,0,0,0,0,0.03219315895372234,0,0,0,0,0,0,0.002012072434607646,0,0,0,0,0,0,0,0.002012072434607646,0,0.002012072434607646,0,0,0,0,0.002012072434607646,0
Cestrum mariquitense,0.002012072434607646,0,0,0,0,0,0,0.002012072434607646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miconia sp,0.014084507042253521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ficus benjamina,0.002012072434607646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
