sp,Turdus.leucomelas,Pitangus.sulphuratus,Ramphocelus.carbo,Ramphastos.toco,Elaenia.flavogaster,Fluvicola.nengeta,Leptotila.sp,Patagioenas.picazuro,Dacnis.cayana,Thraupis.sayaca,Turdus.amaurochalinus,Tachyphonus.coronatus,Conirostrum.speciosum,Tangara.cayana
Lauraceae sp,0,0.0070921985815602835,0.0070921985815602835,0.10638297872340426,0,0,0,0,0,0,0,0,0,0
Citharexylum myrianthum,0.0851063829787234,0,0,0,0.014184397163120567,0.0070921985815602835,0.0425531914893617,0.07801418439716312,0,0,0,0,0,0
Eugenia sp,0.028368794326241134,0,0.014184397163120567,0,0,0,0,0,0.0070921985815602835,0.0425531914893617,0.0070921985815602835,0,0,0
Syzygium cumini,0.0425531914893617,0,0.06382978723404255,0,0,0,0,0,0,0,0,0,0,0
Morus alba,0.02127659574468085,0,0.02127659574468085,0,0,0,0,0,0,0.0425531914893617,0,0.02127659574468085,0,0
Trichilia catigua,0.0851063829787234,0,0.1276595744680851,0,0,0,0,0,0,0.0070921985815602835,0,0,0,0
Trichilia clausseni,0.028368794326241134,0,0.0070921985815602835,0,0.0070921985815602835,0,0,0,0.0070921985815602835,0,0,0,0.0070921985815602835,0.0070921985815602835
Guarea kunthiana,0.0070921985815602835,0,0,0,0,0,0,0,0,0,0,0,0,0
Melia azedarach,0.0070921985815602835,0,0,0,0,0,0,0,0,0,0,0,0,0
Cestrum mariquitense,0,0,0.0070921985815602835,0,0,0,0,0,0,0,0,0,0,0
Ficus sp,0,0,0.0070921985815602835,0,0,0,0,0,0,0,0,0,0,0
Piper aduncum,0,0,0,0,0,0,0,0,0,0,0,0.0070921985815602835,0,0
Undetermined4 sp,0,0,0.0070921985815602835,0,0,0,0,0,0,0,0,0,0,0
Undetermined5 sp,0.014184397163120567,0,0,0,0,0,0,0,0,0,0,0,0,0
