sp,Turdus_merula,Anthornis_melanura,Notiomystis_cincta,Nestor_meridionalis,Philesturnus_carunculatus,Prosthermadera_novae.seelandiae,Zosterops_lateralis,Mohua_albicilla
Aristotelia_serrata,0.003091721058055651,0,0,0,0,0.005152868430092752,0.00790106492614222,0
Coprosma_grandifolia,0.013397457918241155,0.0024046719340432843,0.011336310546204053,0,0.010305736860185504,0.020611473720371008,0.019237375472346274,6.870491240123669e-4
Coprosma_robusta,0.04809343868086568,0.0037787701820680177,0.0037787701820680177,0,0.0024046719340432843,0.05152868430092752,0.052559257986946065,0.0017176228100309172
Coriaria_arborea,0.0013740982480247338,0,0,0,0,0.009618687736173137,0.01580212985228444,3.4352456200618345e-4
Elaeocarpus_dentatus,0.004465819306080384,0,0,0.0020611473720371005,0,0.0010305736860185502,0,0
Fuchsia_excorticata,0.00790106492614222,6.870491240123669e-4,0.0017176228100309172,0.0010305736860185502,0,0.008588114050154586,0.0017176228100309172,0
Geniostoma_rupestre,3.4352456200618345e-4,0,0.007214015802129852,0,0,0,0.10958433527997252,0.0020611473720371005
Hedycarya_arborea,0.0010305736860185502,0,3.4352456200618345e-4,0.0037787701820680177,0.0010305736860185502,0,0,0
Melicytus_ramiflorus,0.03503950532463071,0.005839917554105119,0.01202335967021642,0.0013740982480247338,0.0037787701820680177,0.023016145654414292,0.07179663345929234,0.008244589488148402
Muehlenbeckia_australis,0.0020611473720371005,6.870491240123669e-4,3.4352456200618345e-4,0,3.4352456200618345e-4,0.0024046719340432843,0.011679835108210237,6.870491240123669e-4
Myoporum_laevigatum,0.01683270353830299,0,0.0010305736860185502,0,3.4352456200618345e-4,0.02610786671246994,3.4352456200618345e-4,0
Myrsine_australis,0.014771556166265888,3.4352456200618345e-4,0.0010305736860185502,0.0010305736860185502,0.0013740982480247338,0.018893850910340088,0.02679491583648231,0.0017176228100309172
Piper_excelsum,0.006183442116111302,0,0.0013740982480247338,3.4352456200618345e-4,0.0037787701820680177,0.02095499828237719,3.4352456200618345e-4,0
Pittosporum_eugenioides,0.0020611473720371005,0,0,0,6.870491240123669e-4,0.0013740982480247338,0.028856063208519408,0.004465819306080384
Podocarpus_totara,0,3.4352456200618345e-4,0.0024046719340432843,0,0,0.0027481964960494676,0.004122294744074201,3.4352456200618345e-4
Pseudopanax_arboreus,0.0013740982480247338,3.4352456200618345e-4,0.004122294744074201,6.870491240123669e-4,0.006526966678117485,0.006870491240123669,0.06526966678117485,0.005496392992098935
Ripogonum_scandens,0.0020611473720371005,0,3.4352456200618345e-4,0.0010305736860185502,3.4352456200618345e-4,0.0013740982480247338,0,0
Schefflera_digitata,6.870491240123669e-4,6.870491240123669e-4,0.014084507042253521,0,0.018550326348333906,0.0013740982480247338,0.058055650979045005,6.870491240123669e-4
